ZB_1	ZB_2	ZB_4	ZB_5	ZB_9	ZB_11	ZB_14	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_25	ZB_28	ZB_29	ZB_30	ZB_31	ZB_35	ZB_36	ZB_37	ZB_39	ZB_40	ZB_42	ZB_45	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_53	ZB_54	ZB_55	ZB_56	ZB_58	ZB_60	ZB_61
ZB_36	1	0.690181752852053	0.690181752852053	1	0.569937583137215	0.690181752852053	0.616493699036323	0.594539841790469	0.721064507565702	0.568749218522069	1	0.690181752852053	1	0.594539841790469	0.655133593515461	0.492667028788702	0.764913537296634	0.904982363315697	1	0.690181752852053	0	0.657848616117192	0.699866831978693	0.674110258199581	0.630793933987511	0.441186001296176	0.50091645765001	0.417234581807941	0.568749218522069	0.690181752852053	0.223431401981387	0.727587212937107	0.882853521636792	0.369108375863104	0.657848616117192	1	0.631590480781873	0.690181752852053
ZB_37	0.727588373400351	0.0944995059436476	0.0944995059436476	0.79425283555438	0.417843325286862	0.0944995059436476	0.10783373565689	0.378625045468073	0.250261999580801	0.206606924374194	0.79425283555438	0.0944995059436476	0.755034555735591	0.378625045468073	0.749611454647664	0.516285837108561	0.543864290202044	0.849409741741344	0.79425283555438	0.0944995059436476	0.657848616117192	0	0.405905889355511	0.211236400912668	0.0732780000661354	0.387718660097219	0.314440660031084	0.412883171852783	0.206606924374194	0.0944995059436476	0.559406104295493	0.332627889289375	0.73006845011739	0.623590489732482	0	0.79425283555438	0.309678912734367	0.0944995059436476
ZB_39	0.917816139423474	0.462047489295446	0.462047489295446	0.801506292736102	0.517442587421331	0.462047489295446	0.5137396250124	0.468011503355145	0.617809982932599	0.251198266160964	0.801506292736102	0.462047489295446	0.742741056386879	0.468011503355145	0.578537237003228	0.641520443462677	0.426320483599247	0.746521206723812	0.801506292736102	0.462047489295446	0.699866831978693	0.405905889355511	0	0.617142290268179	0.35892952720785	0.324746291959407	0.38711290793148	0.511190763972825	0.251198266160964	0.462047489295446	0.563162970106075	0.109800812605292	0.705331483500149	0.652293704366993	0.405905889355511	0.801506292736102	0.715584802089878	0.462047489295446
ZB_40	0.654634637152559	0.285774171332754	0.285774171332754	0.7391523078858	0.261937701756592	0.285774171332754	0.11590066716086	0.296896840928152	0.153998935981557	0.417843325286862	0.7391523078858	0.285774171332754	0.751507648069012	0.296896840928152	0.682555653376934	0.38674380581059	0.421707961262734	0.95231245850852	0.7391523078858	0.285774171332754	0.674110258199581	0.211236400912668	0.617142290268179	0	0.284514400978804	0.429614529280949	0.347479614529281	0.457820607857672	0.417843325286862	0.285774171332754	0.558695820733504	0.543864290202044	0.758781111886485	0.522785393870792	0.211236400912668	0.7391523078858	0.124806104053997	0.285774171332754
ZB_42	0.706048171275647	0.160852771206995	0.160852771206995	0.867530835620515	0.491121325352998	0.160852771206995	0.181111735723025	0.451903045534209	0.316615264844148	0.279884924440329	0.867530835620515	0.160852771206995	0.828312555801726	0.451903045534209	0.729812667261374	0.589563837174697	0.617142290268179	0.83750223015165	0.867530835620515	0.160852771206995	0.630793933987511	0.0732780000661354	0.35892952720785	0.284514400978804	0	0.339304192685103	0.387718660097219	0.486161171918918	0.279884924440329	0.160852771206995	0.524567350579839	0.405905889355511	0.803346450183526	0.593826940231936	0.0732780000661354	0.867530835620515	0.382956912800503	0.160852771206995
ZB_45	0.919641414957196	0.445578944216546	0.445578944216546	0.80677213968744	0.257717538105344	0.445578944216546	0.313713862120089	0.200511286899479	0.449993363419166	0.228274913516442	0.80677213968744	0.445578944216546	0.749565888481574	0.200511286899479	0.591056383668179	0.401311981477909	0.441539648852016	0.940625430500069	0.80677213968744	0.445578944216546	0.441186001296176	0.387718660097219	0.324746291959407	0.429614529280949	0.339304192685103	0	0.10688790275902	0.250482346131584	0.228274913516442	0.445578944216546	0.280406135234392	0.38711290793148	0.713148755546981	0.385234391877295	0.387718660097219	0.80677213968744	0.53995552260934	0.445578944216546
ZB_47	0.926241660489251	0.379225678953199	0.379225678953199	0.69988423692842	0.150829635346325	0.379225678953199	0.231578947368421	0.0936233841404592	0.376460047783382	0.135914641770516	0.69988423692842	0.379225678953199	0.642677985722555	0.0936233841404592	0.634767509164576	0.294424078718889	0.334651746092996	0.94610928187388	0.69988423692842	0.379225678953199	0.50091645765001	0.314440660031084	0.38711290793148	0.347479614529281	0.387718660097219	0.10688790275902	0	0.143594443372564	0.135914641770516	0.379225678953199	0.357322014277446	0.294752636185554	0.606260852787961	0.450945398417905	0.314440660031084	0.69988423692842	0.457820607857672	0.379225678953199
ZB_48	0.917093696621256	0.468365422043896	0.468365422043896	0.649563503238524	0.294424078718889	0.468365422043896	0.341919940696812	0.237217827513023	0.475245553490842	0.259992497811862	0.649563503238524	0.468365422043896	0.582765418192059	0.237217827513023	0.778361952537141	0.176119402985075	0.47824618946556	0.938475447278264	0.649563503238524	0.468365422043896	0.417234581807941	0.412883171852783	0.511190763972825	0.457820607857672	0.486161171918918	0.250482346131584	0.143594443372564	0	0.259992497811862	0.468365422043896	0.50091645765001	0.418830492226899	0.540242185299916	0.594539841790469	0.412883171852783	0.649563503238524	0.390576177977753	0.468365422043896
ZB_49	0.934195297774544	0.281582178039944	0.281582178039944	0.740674363355979	0.266244321260368	0.281582178039944	0.314440660031084	0.216813237194182	0.437344671677097	0	0.740674363355979	0.281582178039944	0.691243279289793	0.216813237194182	0.684407952319426	0.390322177301713	0.425082315675405	0.810194640103364	0.740674363355979	0.281582178039944	0.568749218522069	0.206606924374194	0.251198266160964	0.417843325286862	0.279884924440329	0.228274913516442	0.135914641770516	0.259992497811862	0	0.281582178039944	0.444671362480724	0.158837994415038	0.659775767932314	0.525569957904389	0.206606924374194	0.740674363355979	0.516285837108561	0.281582178039944
ZB_50	0.753331137527323	0	0	0.813695840943797	0.472856843429051	0	0.192143006856903	0.437344671677097	0.155762493637153	0.281582178039944	0.813695840943797	0	0.778183669191844	0.437344671677097	0.773273048477408	0.561996586519747	0.586968889421206	0.863640446746714	0.813695840943797	0	0.690181752852053	0.0944995059436476	0.462047489295446	0.285774171332754	0.160852771206995	0.445578944216546	0.379225678953199	0.468365422043896	0.281582178039944	0	0.601042009761356	0.395694224032099	0.7555768482199	0.659161002485253	0.0944995059436476	0.813695840943797	0.374913914423451	0
ZB_51	1	0.601042009761356	0.601042009761356	1	0.417630205668679	0.601042009761356	0.506152705707932	0.450945398417905	0.622279001858243	0.444671362480724	1	0.601042009761356	1	0.450945398417905	0.431702191534074	0.569937583137215	0.612606159828098	0.922037986132047	1	0.601042009761356	0.223431401981387	0.559406104295493	0.563162970106075	0.558695820733504	0.524567350579839	0.280406135234392	0.357322014277446	0.50091645765001	0.444671362480724	0.601042009761356	0	0.603509356895761	0.900695794535966	0.145676973881717	0.559406104295493	1	0.674110258199581	0.601042009761356
