ZB_3	ZB_4	ZB_6	ZB_7	ZB_8	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_18	ZB_19	ZB_22	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_32	ZB_33	ZB_34	ZB_36	ZB_37	ZB_38	ZB_41	ZB_42	ZB_43	ZB_45	ZB_46	ZB_48	ZB_49	ZB_51	ZB_52	ZB_54	ZB_55	ZB_57	ZB_58	ZB_59	ZB_62
ZB_37	0.381634270515697	0.324392476831403	0.485618668596237	0.436911462461212	0.171070172339024	0.598625560147578	0.365169318221206	0.553398719520501	0.40749533888643	0.264696764192986	0.302624111558522	0.46849157063264	0.264696764192986	0.367904816406926	0.391964026689875	0.560408842867734	0.836955391494229	0.793259588869391	0.22383259058322	0.485058618109254	0.483965481158671	0.267550280040733	0.636382601439449	0.442127257482799	0	0.402316155182397	0.178812372708758	0.788409422555764	0.442127257482799	0.180923662910649	0.442127257482799	0.836955391494229	0.436911462461212	0.436911462461212	0.442127257482799	0.311067595010154	0.495056347012545	0.402316155182397	1	0.46849157063264	0.0797326099593102
ZB_38	0.202478286045165	0.389519397799653	0.557668210814095	0.250133178922988	0.278969310943833	0.572773595830921	0.505234510712218	0.548573135189133	0.222744643891141	0.560521134916039	0.142953097857556	0.110719766016828	0.560521134916039	0.177486971627099	0.313862188766647	0.54580232381531	0.820497973364215	0.866127592224342	0.536097278517661	0.228897706561361	0.171522872032426	0.336757382744644	0.67743772782503	0.242072958888245	0.402316155182397	0	0.272171395483497	0.86411056528769	0.242072958888245	0.270295309785756	0.242072958888245	0.820497973364215	0.250133178922988	0.250133178922988	0.242072958888245	0.249276201505501	0.326482761239368	0	0.940718008106543	0.110719766016828	0.44997104806022
ZB_41	0.247062111553255	0.299718981270322	0.539370436918598	0.301827280107534	0.159268468521488	0.568408210133487	0.468653901943719	0.526395703404399	0.262257818663172	0.396178080448065	0.152094951322594	0.352756408275919	0.396178080448065	0.218342006148605	0.228952712503626	0.525155230058908	0.863533507397737	0.824211984759266	0.362620926680244	0.372930905462709	0.345619283278551	0.0887379073319755	0.682853048877567	0.292564447224477	0.178812372708758	0.272171395483497	0	0.820717672794467	0.292564447224477	0.148248414671826	0.292564447224477	0.863533507397737	0.301827280107534	0.301827280107534	0.292564447224477	0.148056280823905	0.38751108109249	0.272171395483497	1	0.352756408275919	0.244287805498982
ZB_42	0.834269063139782	0.792093404342483	0.634919424921102	0.825236417578342	0.819276283350682	0.723038495445195	0.753244567453342	0.561308051662545	0.830544389792852	0.729055441478439	0.84431964321531	0.753390799270862	0.729055441478439	0.838642616936717	0.811497307104387	0.64174683203423	0.849870251042365	0.466712230886328	0.740301915015056	0.761077575455226	0.839652448657188	0.806018641027903	0.54796692717182	0.82683272526838	0.788409422555764	0.86411056528769	0.820717672794467	0	0.82683272526838	0.821111427448109	0.82683272526838	0.849870251042365	0.825236417578342	0.825236417578342	0.82683272526838	0.825407536784164	0.733770637611874	0.86411056528769	1	0.753390799270862	0.773460838512516
ZB_43	0.0691613237112216	0.527723093024994	0.552594081716059	0.0106345592616927	0.408781679084951	0.436322520512781	0.487957617523309	0.541353748936687	0.348289267113559	0.544210407749493	0.385026056745802	0.325990463537966	0.544210407749493	0.0785227528722685	0.256964732523519	0.538786961660389	0.868491312430982	0.83009489962787	0.51451621986934	0.346999251683712	0.0851563482855505	0.235847157931054	0.767859744043284	0	0.442127257482799	0.242072958888245	0.292564447224477	0.82683272526838	0	0.399449276084627	0	0.868491312430982	0.0106345592616927	0.0106345592616927	0	0.310700762487681	0.38318593278535	0.242072958888245	1	0.325990463537966	0.409805136291958
ZB_45	0.35684916145431	0.163386764005713	0.540217490010897	0.408121308779187	0.0118870020631646	0.660000268265529	0.469899568753437	0.613430020044806	0.254583987230561	0.397730518965244	0.149907506177507	0.351088042347659	0.397730518965244	0.329960876174338	0.349181058345373	0.526028423537959	0.863853434054007	0.824590556205466	0.364259641326774	0.450457548602673	0.441818181818182	0.230302941133197	0.68343625136215	0.399449276084627	0.180923662910649	0.270295309785756	0.148248414671826	0.821111427448109	0.399449276084627	0	0.399449276084627	0.863853434054007	0.408121308779187	0.408121308779187	0.399449276084627	0.273876233813581	0.468535669586984	0.270295309785756	0.91875892715442	0.351088042347659	0.246230757022695
ZB_46	0.0691613237112216	0.527723093024994	0.552594081716059	0.0106345592616927	0.408781679084951	0.436322520512781	0.487957617523309	0.541353748936687	0.348289267113559	0.544210407749493	0.385026056745802	0.325990463537966	0.544210407749493	0.0785227528722685	0.256964732523519	0.538786961660389	0.868491312430982	0.83009489962787	0.51451621986934	0.346999251683712	0.0851563482855505	0.235847157931054	0.767859744043284	0	0.442127257482799	0.242072958888245	0.292564447224477	0.82683272526838	0	0.399449276084627	0	0.868491312430982	0.0106345592616927	0.0106345592616927	0	0.310700762487681	0.38318593278535	0.242072958888245	1	0.325990463537966	0.409805136291958
ZB_48	0.874489714239974	0.918355373735452	0.763687091216783	0.867199299860254	0.862361564232733	0.891008001354727	0.637197762329424	0.716039204909774	0.933532988240154	0.893395445134576	0.790557522363052	0.840372395752876	0.893395445134576	0.87800197105659	0.738387793680799	0.768106401759399	0	0.856012304250559	0.897855541669146	0.845347967074083	0.783334964145431	0.851522181714881	0.707403631970401	0.868491312430982	0.836955391494229	0.820497973364215	0.863533507397737	0.849870251042365	0.868491312430982	0.863853434054007	0.868491312430982	0	0.867199299860254	0.867199299860254	0.868491312430982	0.760894716544543	0.82767246650731	0.820497973364215	1	0.840372395752876	0.824435030884356
ZB_49	0.0597537246246333	0.523591664362384	0.560281886163057	0	0.403609763454916	0.430263625272197	0.482927035839815	0.537441478540089	0.356961299808119	0.539699692867706	0.393086276780544	0.333158257896417	0.539699692867706	0.0883222572651498	0.266693691552859	0.535213776061088	0.867199299860254	0.828558435652569	0.509711636901376	0.353943626839611	0.0948853073148912	0.245852620683707	0.766166390676421	0.0106345592616927	0.436911462461212	0.250133178922988	0.301827280107534	0.825236417578342	0.0106345592616927	0.408121308779187	0.0106345592616927	0.867199299860254	0	0	0.0106345592616927	0.3197261268738	0.378686565912759	0.250133178922988	1	0.333158257896417	0.403964281651689
ZB_51	0.0597537246246333	0.523591664362384	0.560281886163057	0	0.403609763454916	0.430263625272197	0.482927035839815	0.537441478540089	0.356961299808119	0.539699692867706	0.393086276780544	0.333158257896417	0.539699692867706	0.0883222572651498	0.266693691552859	0.535213776061088	0.867199299860254	0.828558435652569	0.509711636901376	0.353943626839611	0.0948853073148912	0.245852620683707	0.766166390676421	0.0106345592616927	0.436911462461212	0.250133178922988	0.301827280107534	0.825236417578342	0.0106345592616927	0.408121308779187	0.0106345592616927	0.867199299860254	0	0	0.0106345592616927	0.3197261268738	0.378686565912759	0.250133178922988	1	0.333158257896417	0.403964281651689
ZB_52	0.0691613237112216	0.527723093024994	0.552594081716059	0.0106345592616927	0.408781679084951	0.436322520512781	0.487957617523309	0.541353748936687	0.348289267113559	0.544210407749493	0.385026056745802	0.325990463537966	0.544210407749493	0.0785227528722685	0.256964732523519	0.538786961660389	0.868491312430982	0.83009489962787	0.51451621986934	0.346999251683712	0.0851563482855505	0.235847157931054	0.767859744043284	0	0.442127257482799	0.242072958888245	0.292564447224477	0.82683272526838	0	0.399449276084627	0	0.868491312430982	0.0106345592616927	0.0106345592616927	0	0.310700762487681	0.38318593278535	0.242072958888245	1	0.325990463537966	0.409805136291958
ZB_54	0.354187440755377	0.412887022509081	0.44407592550615	0.3197261268738	0.283989791922656	0.580317389423144	0.340948708060162	0.420001058537102	0.368702167381709	0.414593135364443	0.125400018903847	0.332396164818076	0.414593135364443	0.238381140100628	0.0860316236020054	0.429162838974457	0.760894716544543	0.8287231142668	0.382059390667181	0.353205288101771	0.231702889154002	0.228952712503626	0.59460265572245	0.310700762487681	0.311067595010154	0.249276201505501	0.148056280823905	0.825407536784164	0.310700762487681	0.273876233813581	0.310700762487681	0.760894716544543	0.3197261268738	0.3197261268738	0.310700762487681	0	0.292494566476539	0.249276201505501	1	0.332396164818076	0.267335133050521
ZB_55	0.404374604386661	0.561590659312959	0.284043644708245	0.378686565912759	0.465340445053892	0.589849352382011	0.525009728167213	0.393129134471066	0.427424280350438	0.578086608482962	0.358438047559449	0.224426640340219	0.578086608482962	0.325158672354594	0.354023013867896	0.256868086052588	0.82767246650731	0.717505142031241	0.554638946022569	0.102569219256672	0.31980022890438	0.446367512347503	0.411040080048919	0.38318593278535	0.495056347012545	0.326482761239368	0.38751108109249	0.733770637611874	0.38318593278535	0.468535669586984	0.38318593278535	0.82767246650731	0.378686565912759	0.378686565912759	0.38318593278535	0.292494566476539	0	0.326482761239368	1	0.224426640340219	0.471955083662238
ZB_57	0.202478286045165	0.389519397799653	0.557668210814095	0.250133178922988	0.278969310943833	0.572773595830921	0.505234510712218	0.548573135189133	0.222744643891141	0.560521134916039	0.142953097857556	0.110719766016828	0.560521134916039	0.177486971627099	0.313862188766647	0.54580232381531	0.820497973364215	0.866127592224342	0.536097278517661	0.228897706561361	0.171522872032426	0.336757382744644	0.67743772782503	0.242072958888245	0.402316155182397	0	0.272171395483497	0.86411056528769	0.242072958888245	0.270295309785756	0.242072958888245	0.820497973364215	0.250133178922988	0.250133178922988	0.242072958888245	0.249276201505501	0.326482761239368	0	0.940718008106543	0.110719766016828	0.44997104806022
ZB_58	1	0.902892914730153	1	1	0.917781596826264	1	1	1	0.923729066094523	1	0.930829932708159	0.947281696377998	1	1	1	1	1	1	1	1	1	1	1	1	1	0.940718008106543	1	1	1	0.91875892715442	1	1	1	1	1	1	1	0.940718008106543	0	0.947281696377998	1
