ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_53	ZB_54	ZB_55	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_15	0.336334808746779	0.743556194221752	0.482147651006711	0.368478723174187	0.552081106503057	0.844369776520213	0.393778128701145	0.80127792320752	0.80127792320752	0.368478723174187	0.576579535005911	0.49153375275282	0.240213280895477	0	0.80127792320752	0.20044802567789	0.80127792320752	0.576579535005911	0.293601580453977	0.80127792320752	0.581389656533755	0.267335178850705	0.623134516868919	0.552081106503057	0.576579535005911	1	0.80127792320752	0.576579535005911	0.80127792320752	0.576579535005911	0.576579535005911	0.692491067699875	0.336334808746779	0.482147651006711	0.419316291030101	0.623134516868919	0.80127792320752	0.80127792320752	0.576579535005911	0.563848131901376	0.80127792320752	0.325573519332339	0.267335178850705	0.80127792320752	0.669759178839321	0.576579535005911	0.575180044427466	0.293601580453977	0.243521515988946	0.576579535005911	0.576579535005911	0.576579535005911	0.80127792320752	0.428788837062218	0.80127792320752	0.293601580453977	0.556599118500615	0.80127792320752	0.109508240673851
ZB_16	0.820346287615303	1	0.673015261397883	0.777422860033348	0.843010425888975	0.582172750931983	0.716655338127094	0	0	0.777422860033348	0.853489949438895	0.815910376298684	0.789930156484838	0.80127792320752	0	0.841111371159183	0	0.853489949438895	0.741868549701249	0	1	0.728768092781152	0.910309532618079	0.843010425888975	0.853489949438895	1	0	0.853489949438895	0	0.853489949438895	0.853489949438895	1	0.820346287615303	0.673015261397883	0.734303190240302	0.910309532618079	0	0	0.853489949438895	0.662097015031499	0	0.730249191122212	0.728768092781152	0	1	0.853489949438895	1	0.741868549701249	1	0.853489949438895	0.853489949438895	0.853489949438895	0	0.880248363311981	0	0.741868549701249	1	0	0.823039628220119
ZB_17	0.26256504476066	0.790950455005056	0.581257262523464	0.286141295262296	0.513227330223733	0.869911087751571	0.509800416278268	0.841111371159183	0.841111371159183	0.286141295262296	0.459734959285319	0.354070547091454	0.380632074773731	0.20044802567789	0.841111371159183	0	0.841111371159183	0.459734959285319	0.384466214183022	0.841111371159183	0.661505752557047	0.414196395733726	0.505267214799589	0.513227330223733	0.459734959285319	1	0.841111371159183	0.459734959285319	0.841111371159183	0.459734959285319	0.459734959285319	0.738037591904498	0.26256504476066	0.581257262523464	0.526634442279711	0.505267214799589	0.841111371159183	0.841111371159183	0.459734959285319	0.644454857086488	0.841111371159183	0.410979972583503	0.414196395733726	0.841111371159183	0.732962598802242	0.459734959285319	0.522722919566356	0.384466214183022	0.388300792971793	0.459734959285319	0.459734959285319	0.459734959285319	0.841111371159183	0.280674361609613	0.841111371159183	0.384466214183022	0.645477949781002	0.841111371159183	0.102123106757163
ZB_18	0.820346287615303	1	0.673015261397883	0.777422860033348	0.843010425888975	0.582172750931983	0.716655338127094	0	0	0.777422860033348	0.853489949438895	0.815910376298684	0.789930156484838	0.80127792320752	0	0.841111371159183	0	0.853489949438895	0.741868549701249	0	1	0.728768092781152	0.910309532618079	0.843010425888975	0.853489949438895	1	0	0.853489949438895	0	0.853489949438895	0.853489949438895	1	0.820346287615303	0.673015261397883	0.734303190240302	0.910309532618079	0	0	0.853489949438895	0.662097015031499	0	0.730249191122212	0.728768092781152	0	1	0.853489949438895	1	0.741868549701249	1	0.853489949438895	0.853489949438895	0.853489949438895	0	0.880248363311981	0	0.741868549701249	1	0	0.823039628220119
ZB_19	0.545141908451261	0.712923911703046	0.551936120360094	0.671169657680449	0.0667529905043779	0.649352571217166	0.482926378098409	0.853489949438895	0.853489949438895	0.671169657680449	0	0.204137378221729	0.609210965049662	0.576579535005911	0.853489949438895	0.459734959285319	0.853489949438895	0	0.743823622420745	0.853489949438895	0.629436428659514	0.738069496509008	0.0568195831791836	0.0667529905043779	0	0.795862621778271	0.853489949438895	0	0.853489949438895	0	0	0.347293131088914	0.545141908451261	0.551936120360094	0.448581822666173	0.0568195831791836	0.853489949438895	0.853489949438895	0	0.566413861141941	0.853489949438895	0.73870445874639	0.738069496509008	0.853489949438895	0.698446170921199	0	0.495406338636083	0.743823622420745	0.660848346451919	0	0	0	0.853489949438895	0.182638759393002	0.853489949438895	0.743823622420745	0.67309779257615	0.853489949438895	0.502293647505785
ZB_20	0.30402238016029	0.820919391609106	0.626259340805978	0.137737227644866	0.729345681203604	0.810150451033502	0.658166534448038	0.741868549701249	0.741868549701249	0.137737227644866	0.743823622420745	0.693720942597045	0.254789206846099	0.293601580453977	0.741868549701249	0.384466214183022	0.741868549701249	0.743823622420745	0	0.741868549701249	0.839415390248368	0.0482998370450842	0.789355877935015	0.729345681203604	0.743823622420745	1	0.741868549701249	0.743823622420745	0.741868549701249	0.743823622420745	0.743823622420745	0.880963958971807	0.30402238016029	0.626259340805978	0.672098400480002	0.789355877935015	0.741868549701249	0.741868549701249	0.743823622420745	0.618794446901902	0.741868549701249	0.0430744160782184	0.0482998370450842	0.741868549701249	0.824426207632773	0.743823622420745	0.807373113854595	0	0.513005736254348	0.743823622420745	0.743823622420745	0.743823622420745	0.741868549701249	0.564763024745039	0.741868549701249	0	0.830246341168407	0.741868549701249	0.368478723174187
ZB_21	0.820346287615303	1	0.673015261397883	0.777422860033348	0.843010425888975	0.582172750931983	0.716655338127094	0	0	0.777422860033348	0.853489949438895	0.815910376298684	0.789930156484838	0.80127792320752	0	0.841111371159183	0	0.853489949438895	0.741868549701249	0	1	0.728768092781152	0.910309532618079	0.843010425888975	0.853489949438895	1	0	0.853489949438895	0	0.853489949438895	0.853489949438895	1	0.820346287615303	0.673015261397883	0.734303190240302	0.910309532618079	0	0	0.853489949438895	0.662097015031499	0	0.730249191122212	0.728768092781152	0	1	0.853489949438895	1	0.741868549701249	1	0.853489949438895	0.853489949438895	0.853489949438895	0	0.880248363311981	0	0.741868549701249	1	0	0.823039628220119
ZB_22	0.786009555004386	0.53391799199989	0.416806782814009	0.855610425240055	0.602930877281076	1	0.283344661872906	1	1	0.855610425240055	0.629436428659514	0.534387517141463	0.756591840690304	0.581389656533755	1	0.661505752557047	1	0.629436428659514	0.839415390248368	1	0	0.833778128701145	0.607112738208087	0.602930877281076	0.629436428659514	1	1	0.629436428659514	1	0.629436428659514	0.629436428659514	0.432266475211608	0.786009555004386	0.416806782814009	0.450657962905398	0.607112738208087	1	1	0.629436428659514	0.648668531758367	1	0.834407028970117	0.833778128701145	1	0.186229159040234	0.629436428659514	0.265619844809678	0.839415390248368	0.415894799249677	0.629436428659514	0.629436428659514	0.629436428659514	1	0.697115699605381	1	0.839415390248368	0.117824220439948	1	0.624934561455636
ZB_23	0.337637985785574	0.813880293519583	0.611867518924631	0.179384379039661	0.722914617982812	0.803157955778678	0.646166600868535	0.728768092781152	0.728768092781152	0.179384379039661	0.738069496509008	0.685459652613889	0.225497303509858	0.267335178850705	0.728768092781152	0.414196395733726	0.728768092781152	0.738069496509008	0.0482998370450842	0.728768092781152	0.833778128701145	0	0.784624478372015	0.722914617982812	0.738069496509008	1	0.728768092781152	0.738069496509008	0.728768092781152	0.738069496509008	0.738069496509008	0.877894297248388	0.337637985785574	0.611867518924631	0.661072454999244	0.784624478372015	0.728768092781152	0.728768092781152	0.738069496509008	0.60381045000442	0.728768092781152	0.0913742531233025	0	0.728768092781152	0.817665298203676	0.738069496509008	0.801314430437059	0.0482998370450842	0.495909988156336	0.738069496509008	0.738069496509008	0.738069496509008	0.728768092781152	0.586731164518934	0.728768092781152	0.0482998370450842	0.82393429735132	0.728768092781152	0.347568014418386
ZB_25	0.590674163965531	0.695629719216814	0.608755703539277	0.716701913194719	0.123572573683561	0.70617215439635	0.539745961277593	0.910309532618079	0.910309532618079	0.716701913194719	0.0568195831791836	0.260956961400913	0.65576594691267	0.623134516868919	0.910309532618079	0.505267214799589	0.910309532618079	0.0568195831791836	0.789355877935015	0.910309532618079	0.607112738208087	0.784624478372015	0	0.123572573683561	0.0568195831791836	0.783564867780211	0.910309532618079	0.0568195831791836	0.910309532618079	0.0568195831791836	0.0568195831791836	0.307972411989671	0.590674163965531	0.608755703539277	0.505401405845357	0	0.910309532618079	0.910309532618079	0.0568195831791836	0.623233444321125	0.910309532618079	0.7851465837445	0.784624478372015	0.910309532618079	0.680279802569215	0.0568195831791836	0.465008335240088	0.789355877935015	0.644288189568839	0.0568195831791836	0.0568195831791836	0.0568195831791836	0.910309532618079	0.229080884391112	0.910309532618079	0.789355877935015	0.653404373549505	0.910309532618079	0.548848629368792
