ZB_2	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_11	ZB_13	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_23	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_38	ZB_39	ZB_47	ZB_48	ZB_49	ZB_50	ZB_55	ZB_56	ZB_57	ZB_59	ZB_61	ZB_64
ZB_30	0.676201223633711	0.513826548672566	0.727904941301825	0	1	0.609670796460177	0.892191380997382	0.768990945730924	0.429137407733338	0.674565434048226	0.43826784660767	0	1	1	0.644332743362832	0.35058740690135	0	0.546227728613569	0.89217244379015	0.602968731563422	0	0	0.131705014749263	0	0.922620030193255	0.513826548672566	0.127892618112667	0.653985280774272	1	0.602968731563422	1	0.923113856027102	0	0.904587794254248	0.293571410930824	0.194444837758112	1	0.677226046721589
ZB_32	0.676201223633711	0.513826548672566	0.727904941301825	0	1	0.609670796460177	0.892191380997382	0.768990945730924	0.429137407733338	0.674565434048226	0.43826784660767	0	1	1	0.644332743362832	0.35058740690135	0	0.546227728613569	0.89217244379015	0.602968731563422	0	0	0.131705014749263	0	0.922620030193255	0.513826548672566	0.127892618112667	0.653985280774272	1	0.602968731563422	1	0.923113856027102	0	0.904587794254248	0.293571410930824	0.194444837758112	1	0.677226046721589
ZB_33	0.749568034557235	0.63203104145216	0.701489369844522	0.131705014749263	1	0.550464749687449	0.877949829815235	0.750225604182556	0.365544910179641	0.649227120535714	0.353062999402076	0.131705014749263	1	1	0.590384301788335	0.45399577167019	0.131705014749263	0.477398488884057	0.877925558359651	0.542746099907594	0.131705014749263	0.131705014749263	0	0.131705014749263	0.915546936930445	0.63203104145216	0.242753533707079	0.610110419412005	1	0.542746099907594	1	0.916134824443273	0.131705014749263	0.893599986793886	0.219216881896726	0.0939208109168499	1	0.639369549227698
ZB_34	0.676201223633711	0.513826548672566	0.727904941301825	0	1	0.609670796460177	0.892191380997382	0.768990945730924	0.429137407733338	0.674565434048226	0.43826784660767	0	1	1	0.644332743362832	0.35058740690135	0	0.546227728613569	0.89217244379015	0.602968731563422	0	0	0.131705014749263	0	0.922620030193255	0.513826548672566	0.127892618112667	0.653985280774272	1	0.602968731563422	1	0.923113856027102	0	0.904587794254248	0.293571410930824	0.194444837758112	1	0.677226046721589
ZB_35	0.556077575239058	0.885065977175464	0.617009641675061	0.922620030193255	0.663398914979537	0.873625700323019	0.658837798356943	0.400485011513929	0.746707438917315	0.509926802533425	0.892722060175842	0.922620030193255	0.589505947158038	0.914369455006337	0.868906640090711	0.809966118382949	0.922620030193255	0.881437538801131	0.639611404951936	0.874499228458914	0.922620030193255	0.922620030193255	0.915546936930445	0.922620030193255	0	0.885065977175464	0.886252337916363	0.8939950249779	0.914369455006337	0.874499228458914	0.663398914979537	0.0143398957342161	0.922620030193255	0.609231768640377	0.871480929428238	0.911702153163304	0.542013950263097	0.820582612092182
ZB_36	0.578618384720171	0	0.641098361570363	0.513826548672566	1	0.687587454594281	0.802101643396096	0.715328817084549	0.692790767087852	0.763180257760898	0.467006372945019	0.513826548672566	1	1	0.67048554689247	0.432962677529451	0.513826548672566	0.714690468814539	0.80203782335281	0.690691426092554	0.513826548672566	0.513826548672566	0.63203104145216	0.513826548672566	0.885065977175464	0	0.576004544219703	0.477419660567166	1	0.690691426092554	1	0.886152079837499	0.513826548672566	0.840210722032848	0.66218398400063	0.607137222569991	1	0.533773826492402
ZB_38	0.652585222639047	0.576004544219703	0.699554699723192	0.127892618112667	0.949523176667086	0.659591020226717	0.904587794254248	0.74293400610125	0.317533808660046	0.594134168597352	0.510109242383081	0.127892618112667	0.89512252750962	0.872107381887333	0.689819959991109	0.425414036831293	0.127892618112667	0.604261852428112	0.904572961969094	0.653746099956369	0.127892618112667	0.127892618112667	0.242753533707079	0.127892618112667	0.886252337916363	0.576004544219703	0	0.692513062362478	0.872107381887333	0.653746099956369	0.949523176667086	0.886943194880018	0.127892618112667	0.789602430639079	0.165678792818157	0.297469396491401	0.952565314250996	0.711004678327119
ZB_39	0.501323362773212	0.477419660567166	0.355930681037671	0.653985280774272	1	0.72439010704689	0.827168273291592	0.503156650567545	0.671957975386239	0.593855677384748	0.446849797249818	0.653985280774272	1	1	0.711165413288207	0.658990409464193	0.653985280774272	0.745701482406134	0.827119598744736	0.72680867893979	0.653985280774272	0.653985280774272	0.610110419412005	0.653985280774272	0.8939950249779	0.477419660567166	0.692513062362478	0	1	0.72680867893979	1	0.894919606284771	0.653985280774272	0.856961358151405	0.64068343139513	0.585045725588436	1	0.12775655060891
ZB_47	0.946254077890091	1	0.931876793608935	1	0.788771982564257	1	1	0.946438848509565	0.86218902603998	0.896480724445022	1	1	0.631794750251822	0	1	1	1	1	1	1	1	1	1	1	0.914369455006337	1	0.872107381887333	1	0	1	0.788771982564257	0.915471693573611	1	0.630652370310494	0.84671057500185	1	0.833465663328791	1
ZB_48	0.844542439875232	0.690691426092554	0.807111316671321	0.602968731563422	1	0.282628837324219	0.768547112898592	0.845033985466349	0.626893342972842	0.719733997008133	0.721847845920557	0.602968731563422	1	1	0.341241692062865	0.536931630518551	0.602968731563422	0.125042904839666	0.768459811405478	0	0.602968731563422	0.602968731563422	0.542746099907594	0.602968731563422	0.874499228458914	0.690691426092554	0.653746099956369	0.72680867893979	1	0	1	0.875793094477605	0.602968731563422	0.819026694650541	0.679070795645045	0.507133357160016	1	0.753957210917672
ZB_49	0.797457998060977	1	0.738405452528134	1	0	1	1	0.798202604389558	0.780396609613193	0.835040829993303	1	1	0.41326065058956	0.788771982564257	1	1	1	1	1	1	1	1	1	1	0.663398914979537	1	0.949523176667086	1	0.788771982564257	1	0	0.668225739442754	1	0.882483296120686	0.940991963183486	1	0.265040746953256	1
ZB_50	0.548185817700401	0.886152079837499	0.62035010494997	0.923113856027102	0.668225739442754	0.874937546385452	0.644497902622727	0.391762955717226	0.748517874021797	0.513396209562436	0.893668881382775	0.923113856027102	0.594789837114741	0.915471693573611	0.87031774215453	0.811426888317361	0.923113856027102	0.882592955213006	0.644779339828725	0.875793094477605	0.923113856027102	0.923113856027102	0.916134824443273	0.923113856027102	0.0143398957342161	0.886152079837499	0.886943194880018	0.894919606284771	0.915471693573611	0.875793094477605	0.668225739442754	0	0.923113856027102	0.596359743040685	0.872362172935077	0.912344583499077	0.54858142246405	0.822147500560412
ZB_55	0.676201223633711	0.513826548672566	0.727904941301825	0	1	0.609670796460177	0.892191380997382	0.768990945730924	0.429137407733338	0.674565434048226	0.43826784660767	0	1	1	0.644332743362832	0.35058740690135	0	0.546227728613569	0.89217244379015	0.602968731563422	0	0	0.131705014749263	0	0.922620030193255	0.513826548672566	0.127892618112667	0.653985280774272	1	0.602968731563422	1	0.923113856027102	0	0.904587794254248	0.293571410930824	0.194444837758112	1	0.677226046721589
ZB_56	0.743352035216142	0.840210722032848	0.829443523906165	0.904587794254248	0.882483296120686	0.81720468226002	0.369347629689506	0.744234353382398	0.775046294098096	0.728787542964137	0.854633821796469	0.904587794254248	0.773927152606994	0.630652370310494	0.807163853132783	0.892575895200873	0.904587794254248	0.833110010680648	0.409512653383127	0.819026694650541	0.904587794254248	0.904587794254248	0.893599986793886	0.904587794254248	0.609231768640377	0.840210722032848	0.789602430639079	0.856961358151405	0.630652370310494	0.819026694650541	0.882483296120686	0.596359743040685	0.904587794254248	0	0.752776497395267	0.887424187512826	0.897750258298287	0.869853609288238
ZB_57	0.712472501526093	0.66218398400063	0.658155003782835	0.293571410930824	0.940991963183486	0.591992895730038	0.887887774714523	0.71321734435401	0.304943564893444	0.605119129187691	0.412827154098522	0.293571410930824	0.87863317305251	0.84671057500185	0.628224672537556	0.574678671818795	0.293571410930824	0.623703553598733	0.88786729528018	0.679070795645045	0.293571410930824	0.293571410930824	0.219216881896726	0.293571410930824	0.871480929428238	0.66218398400063	0.165678792818157	0.64068343139513	0.84671057500185	0.679070795645045	0.940991963183486	0.872362172935077	0.293571410930824	0.752776497395267	0	0.280437706095831	0.945107398568019	0.665680888369375
ZB_59	0.739459564505795	0.607137222569991	0.687014853507646	0.194444837758112	1	0.544130913186125	0.869753672681714	0.740171214520832	0.329990261670187	0.635715879422904	0.302676986354342	0.194444837758112	1	1	0.653336909342689	0.502153220903885	0.194444837758112	0.539565076984548	0.869726031550332	0.507133357160016	0.194444837758112	0.194444837758112	0.0939208109168499	0.194444837758112	0.911702153163304	0.607137222569991	0.297469396491401	0.585045725588436	1	0.507133357160016	1	0.912344583499077	0.194444837758112	0.887424187512826	0.280437706095831	0	1	0.61802859788454
ZB_61	0.724417372664684	1	0.644069318962329	1	0.265040746953256	1	1	0.725430498665199	0.79651153232833	0.77555331221035	1	1	0.201670913076969	0.833465663328791	1	1	1	1	1	1	1	1	1	1	0.542013950263097	1	0.952565314250996	1	0.833465663328791	1	0.265040746953256	0.54858142246405	1	0.897750258298287	0.945107398568019	1	0	0.905663866434194
ZB_64	0.428282737376919	0.533773826492402	0.261594547471866	0.677226046721589	1	0.751997172542244	0.845643570876914	0.430384544843186	0.692920233630143	0.534368159601795	0.503948615960965	0.677226046721589	0.913446249903048	1	0.741340370257683	0.683921318134172	0.677226046721589	0.769387669932288	0.845604747674969	0.753957210917672	0.677226046721589	0.677226046721589	0.639369549227698	0.677226046721589	0.820582612092182	0.533773826492402	0.711004678327119	0.12775655060891	1	0.753957210917672	1	0.822147500560412	0.677226046721589	0.869853609288238	0.665680888369375	0.61802859788454	0.905663866434194	0
