ZB_1	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_17	ZB_18	ZB_19	ZB_20	ZB_22	ZB_24	ZB_25	ZB_26	ZB_27	ZB_29	ZB_30	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_41	ZB_43	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_59	ZB_61	ZB_62
ZB_26	0.48069126292317	0.833524171032406	0.853565041727381	0.848385026015271	0.096262875357814	0.833524171032406	0.824256524042919	0.89094323503099	0.891852361008984	0.247305561186567	0.174369889857423	0.853565041727381	0.983549145582196	0.398540352643251	0.880696118691217	0.0861006901023575	1	1	0.870254581384219	0.297832292875741	0	0.174369889857423	1	0.0861006901023575	0.308878699458108	0.297832292875741	0.0689232124319733	0.784957555750185	0.833524171032406	0.880696118691217	0.205787905454433	0.365553533895912	0.419463876776359	0.880696118691217	0.833524171032406	1	0.349694236097034	0.769975217241271	0.833524171032406	0.431398885338027	0.972320764916548	0.135042507136807	0.0861006901023575	0.485151023717819	0.0861006901023575	0.308878699458108	0.972320764916548	0.983549145582196
ZB_27	0.371015263739412	0.927255977555379	0.94344512195122	0.918831532912197	0.196772231991717	0.927255977555379	0.922915132098579	0.91977760127085	0.920543007949358	0.0883394033637517	0	0.94344512195122	0.980157779109247	0.403691813804173	0.941732952708258	0.245457212109984	1	1	0.925775909215204	0.355211255810058	0.174369889857423	0	1	0.245457212109984	0.366031800927184	0.355211255810058	0.231274969329013	0.739704383282365	0.927255977555379	0.941732952708258	0.256062514924697	0.427528160462292	0.485096938989155	0.941732952708258	0.927255977555379	1	0.212352170888407	0.931878784076293	0.927255977555379	0.49672685951434	1	0.181374314308446	0.245457212109984	0.376416908785857	0.245457212109984	0.366031800927184	1	0.980157779109247
ZB_29	1	0.988399301321557	0.982469246476418	1	1	0.988399301321557	0.985096744146661	1	1	1	1	0.982469246476418	0.919616350765015	1	0.979050113081776	0.997282818458308	0	0	0.987411487018096	0.9964317573595	1	1	0	0.997282818458308	0.996503982678823	0.9964317573595	1	0.986402441379843	0.988399301321557	0.979050113081776	0.996913390798046	0.99608945374557	0.995766126607248	0.979050113081776	0.988399301321557	0	1	0.990844301097643	0.988399301321557	0.995849741787912	1	0.997052049746661	0.997282818458308	1	0.997282818458308	0.996503982678823	1	0.919616350765015
ZB_30	0.525404103561669	0.765774319546725	0.845004863137418	0.861439179905207	0.0606116746175104	0.765774319546725	0.817678662405632	0.851697466536983	0.843646272366573	0.31211307180461	0.245457212109984	0.845004863137418	0.966197335309465	0.342009788028963	0.870300896978679	0	0.997282818458308	0.997282818458308	0.784153891281861	0.238509872940886	0.0861006901023575	0.245457212109984	0.997282818458308	0	0.22277800935575	0.238509872940886	0.0184490451268275	0.800171367699504	0.765774319546725	0.870300896978679	0.119687215352076	0.305165732635512	0.358227965355935	0.870300896978679	0.765774319546725	0.997282818458308	0.40568601114662	0.70322510922761	0.765774319546725	0.345298195235669	0.974703966158739	0.0782810739042502	0	0.529479875874207	0	0.22277800935575	0.974703966158739	0.966197335309465
ZB_32	0.389368929146058	0.698637347794132	0.889915340705402	0.821722980354766	0.28338968397326	0.698637347794132	0.765419224122519	0.809188963708957	0.798830026021492	0.437135116886111	0.366031800927184	0.889915340705402	0.956508352700475	0.153407623701408	0.920037871475976	0.22277800935575	0.996503982678823	0.996503982678823	0.722285124049024	0.0202411457402221	0.308878699458108	0.366031800927184	0.996503982678823	0.22277800935575	0	0.0202411457402221	0.241227054482578	0.742893748882665	0.698637347794132	0.920037871475976	0.231870095435719	0.106002820650339	0.174274477087182	0.920037871475976	0.698637347794132	0.996503982678823	0.235335597799098	0.721083933118238	0.698637347794132	0.472534440025362	0.967453270563931	0.187701226089606	0.22277800935575	0.394612955127823	0.22277800935575	0	0.967453270563931	0.956508352700475
ZB_33	0.376753710161382	0.692411402157165	0.887813697295576	0.818039899440435	0.299121547558396	0.692411402157165	0.760572946233071	0.829430109449178	0.794673992376936	0.427528160462292	0.355211255810058	0.887813697295576	0.955609845105831	0.17364876944163	0.918511302001855	0.238509872940886	0.9964317573595	0.9964317573595	0.742526269789246	0	0.297832292875741	0.355211255810058	0.9964317573595	0.238509872940886	0.0202411457402221	0	0.22909935062898	0.737582110128943	0.692411402157165	0.918511302001855	0.248651630806222	0.0875334522747547	0.157215554294056	0.918511302001855	0.692411402157165	0.9964317573595	0.219538155867326	0.715759102959223	0.692411402157165	0.489315975395865	0.966780877463304	0.173836941501612	0.238509872940886	0.382106074122131	0.238509872940886	0.0202411457402221	0.966780877463304	0.955609845105831
ZB_34	0.516483689326497	0.764791228785645	0.845288138783449	0.858834817075089	0.073826957908262	0.764791228785645	0.817525174890987	0.867068130098921	0.840707477429299	0.29918367988927	0.231274969329013	0.845288138783449	0.968417667911033	0.355991764323421	0.870988486996894	0.0184490451268275	1	1	0.802602936408689	0.22909935062898	0.0689232124319733	0.231274969329013	1	0.0184490451268275	0.241227054482578	0.22909935062898	0	0.79973805565141	0.764791228785645	0.870988486996894	0.138136260478903	0.296820591649151	0.350730934529598	0.870988486996894	0.764791228785645	1	0.394515398408254	0.70124227499451	0.764791228785645	0.363747240362497	0.97422850671616	0.0663095648900461	0.0184490451268275	0.5206360690805	0.0184490451268275	0.241227054482578	0.97422850671616	0.968417667911033
ZB_35	0.760178234400942	0.808484488896423	0.83058997125194	0.752894654490626	0.790775609196532	0.808484488896423	0.776663042403875	0.761458819652322	0.768101238786843	0.827726809378185	0.739704383282365	0.83058997125194	0.916245926880796	0.820645887059972	0.815181792950319	0.800171367699504	0.986402441379843	0.986402441379843	0.798308451049965	0.737582110128943	0.784957555750185	0.739704383282365	0.986402441379843	0.800171367699504	0.742893748882665	0.737582110128943	0.79973805565141	0	0.808484488896423	0.815181792950319	0.773002692014276	0.825115562403698	0.812016475254429	0.815181792950319	0.808484488896423	0.986402441379843	0.669847303569812	0.836549416764626	0.808484488896423	0.815385932433734	1	0.783200033499435	0.800171367699504	0.758367767117999	0.800171367699504	0.742893748882665	1	0.916245926880796
ZB_36	0.895524362814083	0	0.688498153253915	0.408430280460073	0.826385994164235	0	0.221599709982533	0.469627250548161	0.332465478034473	0.921585266768981	0.927255977555379	0.688498153253915	0.855683353656527	0.744359105278596	0.773734588773865	0.765774319546725	0.988399301321557	0.988399301321557	0.1994070596955	0.692411402157165	0.833524171032406	0.927255977555379	0.988399301321557	0.765774319546725	0.698637347794132	0.692411402157165	0.764791228785645	0.808484488896423	0	0.773734588773865	0.733929025525907	0.662904247164299	0.63503289671514	0.773734588773865	0	0.988399301321557	0.911949558024491	0.210763148311918	0	0.642240667814276	0.892001450087335	0.745881663246933	0.765774319546725	0.894856617157521	0.765774319546725	0.698637347794132	0.892001450087335	0.855683353656527
ZB_37	0.912374786390097	0.773734588773865	0.1632053389113	0.778273861838636	0.865214755092342	0.773734588773865	0.725773910850514	0.787693136297842	0.794894308943089	0.936681792627098	0.941732952708258	0.1632053389113	0.739376264730389	0.934120227711913	0	0.870300896978679	0.979050113081776	0.979050113081776	0.75879661721891	0.918511302001855	0.880696118691217	0.941732952708258	0.979050113081776	0.870300896978679	0.920037871475976	0.918511302001855	0.870988486996894	0.815181792950319	0.773734588773865	0	0.9287807833377	0.911339638794896	0.904660134587142	0	0.773734588773865	0.979050113081776	0.927908465354457	0.562971440461947	0.773734588773865	0.90637881119709	1	0.931776829689118	0.870300896978679	0.911727246007642	0.870300896978679	0.920037871475976	1	0.739376264730389
