ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_22	ZB_24	ZB_25	ZB_26	ZB_27	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_61	ZB_62	ZB_64
ZB_16	0.954432107515027	0.967693610369309	0.895517919767342	0.818642079788577	0.967693610369309	0.97259355964457	0.903350872334533	0.868835098335855	0.94802628624463	0.967693610369309	0.986004401841356	0.986548318733558	0.83128453038674	0.942856538612019	0	0.979198495006321	0.898639958178092	0.961643414065861	0.960794840357228	0.690013193368898	0.897803806734993	0.932730116421231	0.982500793357814	0.98484954269357	0.928397286410854	0.980336188646974	0.803705049037414	0.962098360655738	0.930252609460293	0.960320940733161	0.958784902034061	0.920170703334335	0.87980736272023	0.951051304964596	0.949070746483212	0.93929539295393	0.944644095294635	0.903114763200267	0.949070746483212	0.824388630907026	0.923038150143339	0.949070746483212	0.981660099094626	0.895517919767342	0.950292962462173	0.895517919767342	0.895517919767342	0.949070746483212	0.95305498120662	0.959913756325521	0.949070746483212	0.957551284234377	0.979167291687917	0.958629121846804	0.967693610369309	0.871275221593693	0.967693610369309
ZB_17	0.866338723130571	0.375802943705427	0.632670407945163	0.735975114200039	0.375802943705427	0.699443019238894	0.64919251473981	0.728678643220422	0.859719343764337	0.375802943705427	0.681652051632417	0.716537491299952	0.743238381790234	0.733482683146646	0.979198495006321	0	0.771949693294789	0.704064320012181	0.250668408763716	0.978998052238716	0.637383828768266	0.569015769256689	0.690202943101927	0.646727027712941	0.620286734426987	0.549946933073073	0.943241630680711	0.673224872037127	0.697558459422283	0.695270065962617	0.291329437810765	0.662376739827543	0.713132125109617	0.698614396108435	0.860725561134468	0.718436966971623	0.652599792998218	0.648678843429397	0.860725561134468	0.739196872975711	0.670452590637705	0.860725561134468	0.638136628982198	0.632670407945163	0.388097628698573	0.632670407945163	0.632670407945163	0.860725561134468	0.692062638534141	0.713193983047785	0.860725561134468	0.705893790465577	0.411069220328759	0.684137058415534	0.375802943705427	0.730622748327329	0.375802943705427
ZB_18	0.537624871627299	0.861911979983181	0.643672842150965	0.502956410869392	0.861911979983181	0.655491257737717	0.661969846413978	0.541190533110208	0.568982097350664	0.861911979983181	0.586638806298433	0.633193404627994	0.522173789806721	0.27178431844396	0.898639958178092	0.771949693294789	0	0.621580800040194	0.694239973421651	0.91185866850329	0.648917607591944	0.714902541327412	0.657620333598094	0.587309085183436	0.637952882898451	0.676684097632099	0.900454672853539	0.488673224043716	0.706859297361607	0.63485679502583	0.74763022871554	0.474671261752601	0.558994614599497	0.517080950682637	0.506849997095701	0.78345861413513	0.586252620935995	0.661404670654782	0.506849997095701	0.511535389290022	0.49085789334299	0.506849997095701	0.646712992511754	0.643672842150965	0.845414715684341	0.643672842150965	0.643672842150965	0.506849997095701	0.567917906433496	0.629897893756666	0.506849997095701	0.60850567817753	0.631233531285641	0.618259826321614	0.861911979983181	0.531205673758865	0.861911979983181
ZB_19	0.788195654699663	0.865680042198452	0.632888378095767	0.788503386621198	0.865680042198452	0.0758165989977688	0.616417223404123	0.803569690289802	0.817684537098967	0.865680042198452	0.248458985301091	0.216960425046866	0.772655192662164	0.724429204387378	0.961643414065861	0.704064320012181	0.621580800040194	0	0.777857232194809	0.966645627851623	0.62467695998543	0.429810430856091	0.108739651535657	0.307838685670683	0.795954167133206	0.1935697855966	0.93493981956861	0.292828904191748	0.450064215487708	0.0909323676798712	0.796134164976372	0.519517426105087	0.833115094878776	0.216392063028522	0.813382570440779	0.858809514923052	0.307091336718384	0.632243216383446	0.813382570440779	0.781582558508317	0.501615592588057	0.813382570440779	0.432985093842535	0.632888378095767	0.857039147765277	0.632888378095767	0.632888378095767	0.813382570440779	0.182946627352344	0.0617543139377201	0.813382570440779	0.0964017346031985	0.704744063123664	0.0728602426057986	0.865680042198452	0.799635117864466	0.865680042198452
ZB_20	0.845233246837873	0.246512195866532	0.71987071591578	0.623549002601908	0.246512195866532	0.789857127276693	0.732935611374454	0.610585170139313	0.836288441536861	0.246512195866532	0.74797844576961	0.780096400842786	0.636285630010994	0.665214659174796	0.960794840357228	0.250668408763716	0.694239973421651	0.777857232194809	0	0.918933357755594	0.723602500292923	0.646176632353005	0.783480681763911	0.730767563975703	0.663921209161041	0.627171404751268	0.908412761212819	0.767150831801932	0.636009248905145	0.786976818748428	0.0927147371015813	0.738381725229967	0.624992534193394	0.78524256845828	0.837657225507607	0.79870151601352	0.697392496018371	0.732530108602951	0.837657225507607	0.62921908849237	0.74484279290597	0.837657225507607	0.717847326234014	0.71987071591578	0.222990189347126	0.71987071591578	0.71987071591578	0.837657225507607	0.736043938292545	0.769235549153356	0.837657225507607	0.757625650427487	0.345429037707218	0.76289892420694	0.246512195866532	0.614056053492673	0.246512195866532
ZB_22	0.953459068913285	0.967207540754453	0.909143785818151	0.842293587516518	0.967207540754453	0.981120425412607	0.915955216204455	0.830197426264887	0.946756632418341	0.967207540754453	0.985913950138954	0.986464781923934	0.85328729281768	0.928135622766495	0.690013193368898	0.978998052238716	0.91185866850329	0.966645627851623	0.918933357755594	0	0.911131562434637	0.941503012413125	0.980455399306008	0.984743491156762	0.909254749817711	0.969776037650487	0.733441099211962	0.952834084500788	0.939348605623187	0.980820804290917	0.914549579264074	0.93058151541689	0.884628839291961	0.957434871988042	0.947852207870231	0.93755620301428	0.951863248482981	0.915749898871325	0.947852207870231	0.847290711215262	0.933075008663327	0.947852207870231	0.981504466735208	0.909143785818151	0.93773364044859	0.909143785818151	0.909143785818151	0.947852207870231	0.959177241946518	0.965141540703208	0.947852207870231	0.963087166691572	0.978966244214506	0.964024439808166	0.967207540754453	0.83353184553661	0.967207540754453
ZB_24	0.809062478104956	0.888149080220278	0.0218782681447396	0.436494457226522	0.888149080220278	0.669683243995052	0.0937209302325581	0.476636686885589	0.858920895205906	0.888149080220278	0.795023756358813	0.813866747266104	0.394268981384648	0.679717705208313	0.897803806734993	0.637383828768266	0.648917607591944	0.62467695998543	0.723602500292923	0.911131562434637	0	0.551861951550304	0.702918930894634	0.755841997972456	0.464815388882544	0.730007038018784	0.826655511399289	0.533425792783058	0.578644232949201	0.684942550664345	0.757846528474709	0.248790392536095	0.555356619953985	0.538450267502505	0.86015197549029	0.629676461470689	0.501031073197384	0.0519682416301149	0.86015197549029	0.418054800250994	0.246920580915477	0.86015197549029	0.775273332761977	0.0218782681447396	0.871959326938262	0.0218782681447396	0.0218782681447396	0.86015197549029	0.571073229472417	0.656910574253414	0.86015197549029	0.584635059198843	0.789124761048506	0.595181808329043	0.888149080220278	0.466153524367287	0.888149080220278
ZB_25	0.854414978034363	0.786058577188416	0.546154145885287	0.629076670595103	0.786058577188416	0.468383175282772	0.552371685492552	0.655499994492846	0.875136710773983	0.786058577188416	0.449489814712491	0.50095136722079	0.601282065402958	0.74381444981834	0.932730116421231	0.569015769256689	0.714902541327412	0.429810430856091	0.646176632353005	0.941503012413125	0.551861951550304	0	0.48988698783066	0.408271301868863	0.644690450013269	0.546312634487047	0.932533044877714	0.598822670313243	0.299094030135419	0.442718823480748	0.691410628267324	0.586837070418252	0.707316804529083	0.614245536216512	0.875934536940735	0.754141866019638	0.284457352934904	0.565551872211265	0.875934536940735	0.633019083595511	0.596551354383186	0.875934536940735	0.343958918266373	0.546154145885287	0.772295579643929	0.546154145885287	0.546154145885287	0.875934536940735	0.352777995279589	0.442349640135682	0.875934536940735	0.410393014875227	0.763277914584214	0.385001490232205	0.786058577188416	0.648599530790497	0.786058577188416
ZB_26	0.776654536544339	0.859388609000085	0.700509047141922	0.844784176599558	0.859388609000085	0.0482255499223807	0.671117080842642	0.842419450609816	0.807750254136548	0.859388609000085	0.207507872438353	0.17429297059963	0.828998933471784	0.712215026762704	0.982500793357814	0.690202943101927	0.657620333598094	0.108739651535657	0.783480681763911	0.980455399306008	0.702918930894634	0.48988698783066	0	0.270123144472075	0.77531223154695	0.220530807648946	0.933714398995573	0.36467351351016	0.517592779581502	0.0696675518866581	0.802364879101245	0.58851247181008	0.837566525487526	0.318793664728044	0.803213875358854	0.839564507637341	0.378661587569447	0.682757814278945	0.803213875358854	0.827464766509092	0.595663094236561	0.803213875358854	0.40208872097297	0.700509047141922	0.852488870327597	0.700509047141922	0.700509047141922	0.803213875358854	0.26737857495069	0.119201951721551	0.803213875358854	0.202317812160893	0.690914524805738	0.179465842447298	0.859388609000085	0.84304392379121	0.859388609000085
ZB_27	0.770238924179059	0.816865120555177	0.753482717591327	0.804273035500598	0.816865120555177	0.295325507346453	0.752701861902039	0.800291681151801	0.736599750482023	0.816865120555177	0.21930276423268	0.180451681119791	0.808293212979053	0.655678566443328	0.98484954269357	0.646727027712941	0.587309085183436	0.307838685670683	0.730767563975703	0.984743491156762	0.755841997972456	0.408271301868863	0.270123144472075	0	0.732306909722375	0.372800141132417	0.945648039245692	0.535248951471884	0.448802161560151	0.28397407786386	0.755043300517873	0.620071538899276	0.791994347912481	0.489394596853254	0.762086964214624	0.804263040162232	0.381904423012726	0.761559603844326	0.762086964214624	0.806049177357993	0.627910090727156	0.762086964214624	0.226230813464856	0.753482717591327	0.818997545158099	0.753482717591327	0.753482717591327	0.762086964214624	0.223467879056701	0.276626257720253	0.762086964214624	0.352427020788214	0.651217260175325	0.328121150030476	0.816865120555177	0.801346957537522	0.816865120555177
