ZB_1	ZB_3	ZB_4	ZB_6	ZB_7	ZB_8	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_17	ZB_18	ZB_19	ZB_22	ZB_24	ZB_25	ZB_26	ZB_27	ZB_29	ZB_30	ZB_32	ZB_33	ZB_34	ZB_36	ZB_37	ZB_38	ZB_41	ZB_43	ZB_45	ZB_46	ZB_49	ZB_51	ZB_52	ZB_54	ZB_55	ZB_57	ZB_59	ZB_62
ZB_30	0.979528129419475	0.146337893007596	0.711410437722052	0.250879638850163	0.146337893007596	0.592250629922647	0.67866015893433	0.434267792010995	0.681831797438021	0.565242647546969	0.732067027293711	0.781068842175744	0.438408683529177	0.0769018070623445	0.705160960654062	0.345407524275793	0.374863779053691	0.47939015556552	0.681831797438021	0.785879160573009	0	0.275971438330541	0.146337893007596	0.279598575169565	0.146337893007596	0.711410437722052	0.0769018070623445	0.146337893007596	0.254199030737569	0.623607293310128	0.269107529155349	0.174525463151217	0.146337893007596	0.146337893007596	0.374863779053691	0.362112460997145	0.0769018070623445	0.0769018070623445	0.651348827374764
ZB_32	0.950936192681045	0.268505717213448	0.635230088136144	0.408012231421089	0.268505717213448	0.530055643556314	0.629645424637505	0.491665585077782	0.752173993658799	0.396978189350554	0.691198570326144	0.914122204613488	0.241785467690183	0.199069631268197	0.660188457008245	0.0866942853661508	0.497031603259544	0.688098762219222	0.752173993658799	0.753218796961943	0.275971438330541	0	0.268505717213448	0.401766399375417	0.268505717213448	0.635230088136144	0.199069631268197	0.268505717213448	0.188919585411529	0.434040047114252	0.166132052732094	0.29669328735707	0.268505717213448	0.268505717213448	0.497031603259544	0.51702151884322	0.199069631268197	0.199069631268197	0.598168230372446
ZB_33	0.957771096972663	0	0.686044885688317	0.278378686098144	0	0.595521918478641	0.681238201775851	0.438806544081661	0.684384394882193	0.480983010557226	0.734216597916521	0.782825281409495	0.347409634342446	0.0694360859452514	0.707526393064392	0.213923652380619	0.245577850800531	0.450901908690485	0.684384394882193	0.787597007620779	0.146337893007596	0.268505717213448	0	0.143204222890303	0	0.686044885688317	0.0694360859452514	0	0.153411871635321	0.512881912885409	0.131930364259246	0.0302908480738307	0	0	0.245577850800531	0.267059358176606	0.0694360859452514	0.0694360859452514	0.654145983360134
ZB_34	0.950712988841062	0.143204222890303	0.763229809077145	0.167429815343042	0.143204222890303	0.667602200967539	0.627960586711275	0.345009078112569	0.63163263224464	0.624187233447528	0.877420820806824	0.820041096153477	0.490613857232748	0.20269676810722	0.785922670704236	0.357127875270922	0.388782073690834	0.359126053163059	0.63163263224464	0.870508512131172	0.279598575169565	0.401766399375417	0.143204222890303	0	0.143204222890303	0.763229809077145	0.20269676810722	0.143204222890303	0.296616094525624	0.580302079101887	0.275134587149549	0.173495070964133	0.143204222890303	0.143204222890303	0.388782073690834	0.410263581066909	0.20269676810722	0.20269676810722	0.797350206250437
ZB_36	0.957771096972663	0	0.686044885688317	0.278378686098144	0	0.595521918478641	0.681238201775851	0.438806544081661	0.684384394882193	0.480983010557226	0.734216597916521	0.782825281409495	0.347409634342446	0.0694360859452514	0.707526393064392	0.213923652380619	0.245577850800531	0.450901908690485	0.684384394882193	0.787597007620779	0.146337893007596	0.268505717213448	0	0.143204222890303	0	0.686044885688317	0.0694360859452514	0	0.153411871635321	0.512881912885409	0.131930364259246	0.0302908480738307	0	0	0.245577850800531	0.267059358176606	0.0694360859452514	0.0694360859452514	0.654145983360134
ZB_37	0.865493820287273	0.686044885688317	0	0.789211497554679	0.686044885688317	0.313377102995486	0.869205298013245	0.837119100706057	0.758222436737227	0.458881738511787	0.421773886562619	0.93617840638566	0.566109166342538	0.707844699988614	0.0684222246965817	0.600604807328842	0.583846902367824	0.64920391749193	0.758222436737227	0.323460639127046	0.711410437722052	0.635230088136144	0.686044885688317	0.763229809077145	0.686044885688317	0	0.707844699988614	0.686044885688317	0.663075869845361	0.355484588611002	0.638329574742268	0.716335733762148	0.686044885688317	0.686044885688317	0.583846902367824	0.612321023122191	0.707844699988614	0.707844699988614	0.203797106966121
ZB_38	0.960703306712643	0.0694360859452514	0.707844699988614	0.208942600152893	0.0694360859452514	0.623607293310128	0.703371773393406	0.47777362111872	0.706299507164815	0.51702151884322	0.752671557066411	0.797905043834681	0.392722955059287	0	0.727834615572291	0.268505717213448	0.297961971991347	0.489029130951026	0.706299507164815	0.802345440054651	0.0769018070623445	0.199069631268197	0.0694360859452514	0.20269676810722	0.0694360859452514	0.707844699988614	0	0.0694360859452514	0.212195637676681	0.546705486247784	0.192205722093004	0.097623656088873	0.0694360859452514	0.0694360859452514	0.297961971991347	0.317951887575023	0	0	0.67816073258405
ZB_41	0.957771096972663	0	0.686044885688317	0.278378686098144	0	0.595521918478641	0.681238201775851	0.438806544081661	0.684384394882193	0.480983010557226	0.734216597916521	0.782825281409495	0.347409634342446	0.0694360859452514	0.707526393064392	0.213923652380619	0.245577850800531	0.450901908690485	0.684384394882193	0.787597007620779	0.146337893007596	0.268505717213448	0	0.143204222890303	0	0.686044885688317	0.0694360859452514	0	0.153411871635321	0.512881912885409	0.131930364259246	0.0302908480738307	0	0	0.245577850800531	0.267059358176606	0.0694360859452514	0.0694360859452514	0.654145983360134
ZB_43	0.976099387886598	0.153411871635321	0.663075869845361	0.388933147447388	0.153411871635321	0.522225663260039	0.623474759987612	0.337111592856406	0.627191080829978	0.386930938371013	0.686053473727676	0.912884268438633	0.229152472385672	0.212195637676681	0.654526685248271	0.119201030927835	0.398989722435853	0.604313780325806	0.627191080829978	0.749107050686487	0.254199030737569	0.188919585411529	0.153411871635321	0.296616094525624	0.153411871635321	0.663075869845361	0.212195637676681	0.153411871635321	0	0.463595360824742	0.0247462951030928	0.183702719709152	0.153411871635321	0.153411871635321	0.398989722435853	0.385795687976707	0.212195637676681	0.212195637676681	0.59147310828946
ZB_45	0.913308694248089	0.512881912885409	0.355484588611002	0.609094049415486	0.512881912885409	0.169650866554236	0.900116892101434	0.713237502681828	0.589496314496314	0.138505319664974	0.607023898069398	0.952613657040368	0.550130078046828	0.546705486247784	0.399583766909469	0.380317079136371	0.354316296742505	0.521890894584622	0.589496314496314	0.563959955506118	0.623607293310128	0.434040047114252	0.512881912885409	0.580302079101887	0.512881912885409	0.355484588611002	0.546705486247784	0.512881912885409	0.463595360824742	0	0.438849065721649	0.543172760959239	0.512881912885409	0.512881912885409	0.354316296742505	0.382790417496872	0.546705486247784	0.546705486247784	0.458881738511787
ZB_46	0.951353092783505	0.131930364259246	0.638329574742268	0.401148322245897	0.131930364259246	0.534048807989691	0.632792364690722	0.353515625	0.636416720360825	0.40210212628866	0.693822487113402	0.914755645668741	0.248228092783505	0.192205722093004	0.663075869845361	0.0944547358247423	0.377508215059778	0.582832272949731	0.636416720360825	0.755315721649484	0.269107529155349	0.166132052732094	0.131930364259246	0.275134587149549	0.131930364259246	0.638329574742268	0.192205722093004	0.131930364259246	0.0247462951030928	0.438849065721649	0	0.162221212333077	0.131930364259246	0.131930364259246	0.377508215059778	0.398989722435853	0.192205722093004	0.192205722093004	0.601582635309278
ZB_49	0.956451990843382	0.0302908480738307	0.716335733762148	0.306566256241766	0.0302908480738307	0.625812766552472	0.671281025252798	0.421276519043242	0.674525496133672	0.511273858631056	0.725914309919068	0.776041385028569	0.377700482416276	0.097623656088873	0.737817241138223	0.24421450045445	0.275868698874362	0.481192756764315	0.674525496133672	0.780962165864561	0.174525463151217	0.29669328735707	0.0302908480738307	0.173495070964133	0.0302908480738307	0.716335733762148	0.097623656088873	0.0302908480738307	0.183702719709152	0.543172760959239	0.162221212333077	0	0.0302908480738307	0.0302908480738307	0.275868698874362	0.297350206250437	0.097623656088873	0.097623656088873	0.684436831433965
ZB_51	0.957771096972663	0	0.686044885688317	0.278378686098144	0	0.595521918478641	0.681238201775851	0.438806544081661	0.684384394882193	0.480983010557226	0.734216597916521	0.782825281409495	0.347409634342446	0.0694360859452514	0.707526393064392	0.213923652380619	0.245577850800531	0.450901908690485	0.684384394882193	0.787597007620779	0.146337893007596	0.268505717213448	0	0.143204222890303	0	0.686044885688317	0.0694360859452514	0	0.153411871635321	0.512881912885409	0.131930364259246	0.0302908480738307	0	0	0.245577850800531	0.267059358176606	0.0694360859452514	0.0694360859452514	0.654145983360134
ZB_52	0.957771096972663	0	0.686044885688317	0.278378686098144	0	0.595521918478641	0.681238201775851	0.438806544081661	0.684384394882193	0.480983010557226	0.734216597916521	0.782825281409495	0.347409634342446	0.0694360859452514	0.707526393064392	0.213923652380619	0.245577850800531	0.450901908690485	0.684384394882193	0.787597007620779	0.146337893007596	0.268505717213448	0	0.143204222890303	0	0.686044885688317	0.0694360859452514	0	0.153411871635321	0.512881912885409	0.131930364259246	0.0302908480738307	0	0	0.245577850800531	0.267059358176606	0.0694360859452514	0.0694360859452514	0.654145983360134
ZB_54	0.944024836661878	0.245577850800531	0.583846902367824	0.418846995194378	0.245577850800531	0.463857096520087	0.926816052576383	0.684384394882193	0.581645892220008	0.312033733376581	0.647699365182336	0.712131041193643	0.592987485142977	0.297961971991347	0.612321023122191	0.459501503181151	0	0.272160696909318	0.581645892220008	0.718456049302627	0.374863779053691	0.497031603259544	0.245577850800531	0.388782073690834	0.245577850800531	0.583846902367824	0.297961971991347	0.245577850800531	0.398989722435853	0.354316296742505	0.377508215059778	0.275868698874362	0.245577850800531	0.245577850800531	0	0.0284741207543673	0.297961971991347	0.297961971991347	0.5415643390019
ZB_55	0.972498957416246	0.267059358176606	0.612321023122191	0.406278595058774	0.267059358176606	0.448143466959197	0.925209438579569	0.677455656181341	0.569384494312355	0.29187036462929	0.637373905992893	0.703693988028522	0.584052301591555	0.317951887575023	0.600958672167505	0.480983010557226	0.0284741207543673	0.300634817663686	0.569384494312355	0.71020437364367	0.362112460997145	0.51702151884322	0.267059358176606	0.410263581066909	0.267059358176606	0.612321023122191	0.317951887575023	0.267059358176606	0.385795687976707	0.382790417496872	0.398989722435853	0.297350206250437	0.267059358176606	0.267059358176606	0.0284741207543673	0	0.317951887575023	0.317951887575023	0.528128204516729
ZB_57	0.960703306712643	0.0694360859452514	0.707844699988614	0.208942600152893	0.0694360859452514	0.623607293310128	0.703371773393406	0.47777362111872	0.706299507164815	0.51702151884322	0.752671557066411	0.797905043834681	0.392722955059287	0	0.727834615572291	0.268505717213448	0.297961971991347	0.489029130951026	0.706299507164815	0.802345440054651	0.0769018070623445	0.199069631268197	0.0694360859452514	0.20269676810722	0.0694360859452514	0.707844699988614	0	0.0694360859452514	0.212195637676681	0.546705486247784	0.192205722093004	0.097623656088873	0.0694360859452514	0.0694360859452514	0.297961971991347	0.317951887575023	0	0	0.67816073258405
ZB_59	0.960703306712643	0.0694360859452514	0.707844699988614	0.208942600152893	0.0694360859452514	0.623607293310128	0.703371773393406	0.47777362111872	0.706299507164815	0.51702151884322	0.752671557066411	0.797905043834681	0.392722955059287	0	0.727834615572291	0.268505717213448	0.297961971991347	0.489029130951026	0.706299507164815	0.802345440054651	0.0769018070623445	0.199069631268197	0.0694360859452514	0.20269676810722	0.0694360859452514	0.707844699988614	0	0.0694360859452514	0.212195637676681	0.546705486247784	0.192205722093004	0.097623656088873	0.0694360859452514	0.0694360859452514	0.297961971991347	0.317951887575023	0	0	0.67816073258405
ZB_62	0.943519223448801	0.654145983360134	0.203797106966121	0.795980854508341	0.654145983360134	0.361213972132086	0.876259715695836	0.843742340856933	0.77253413771853	0.333636424866977	0.231515641582857	0.821584049753064	0.47002892650525	0.67816073258405	0.154343761055238	0.560024903831188	0.5415643390019	0.707281357301555	0.77253413771853	0.385859402638096	0.651348827374764	0.598168230372446	0.654145983360134	0.797350206250437	0.654145983360134	0.203797106966121	0.67816073258405	0.654145983360134	0.59147310828946	0.458881738511787	0.601582635309278	0.684436831433965	0.654145983360134	0.654145983360134	0.5415643390019	0.528128204516729	0.67816073258405	0.67816073258405	0
