ZB_1	ZB_2	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_50	ZB_52	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_12	1	0.751293578759861	0.856518618593262	0.751293578759861	0.0237939099831683	0.856518618593262	0.576609729420303	0.681261040902296	0.897268432943109	0.751293578759861	0	0.172371958816972	0.81744621036896	0.790787659555543	0.700982923404448	0.672492765846069	0.63388786198398	0.145993372847342	0.751293578759861	1	0.717853529963155	1	0.172371958816972	0.116269919338973	0.172371958816972	1	0.74906062653044	0.171137382796576	0.838786837989512	0.246463253247842	0.0568843062398712	0.299362583660894	0.751293578759861	0.702526941657376	1	0.162820560887822	0.945822426749979	0.897737843335684	0.283620062999758	0.875484273257894	0.945822426749979	0.756695641350123	1	0.943897960522001	0.215948586792577	0.751293578759861	1	0.0805625346689725	0.220224126325747	1	0.203659917561263	0.861040408067303	0.222926998039442	0.71273114920206	0.751293578759861	0.611120493118298	0.681261040902296	0.744194500588911
ZB_13	1	0.862774620408856	1	0.862774620408856	0.152199469305955	1	0.737822891430791	0.824133713819812	1	0.862774620408856	0.172371958816972	0	0.843217224864926	0.848271927219296	0.820595519739761	0.787155923281616	0.720039732352395	0.293200168012321	0.862774620408856	1	0.811462036011887	1	0	0.0634832294449392	0	1	0.698947741633216	0.314010055714092	1	0.216637010676157	0.131198513045274	0.366850378552109	0.862774620408856	0.64057155685855	1	0.275454258403422	1	1	0.257882976082099	1	1	0.865755243449578	1	1	0.0526524305693118	0.862774620408856	1	0.108941998799732	0.273089439479318	1	0.290949950840395	1	0.189382747768001	0.655363225406151	0.862774620408856	0.533460803059273	0.824133713819812	0.858857658024458
ZB_14	0.951859696938277	0.207226567087062	0.920587595490665	0.207226567087062	0.833637019463182	0.920587595490665	0.742740897489038	0.623019513244771	0.919606192110888	0.207226567087062	0.81744621036896	0.843217224864926	0	0.114871364122851	0.647674379098291	0.258886425011527	0.75573076528109	0.792288170169215	0.207226567087062	0.951859696938277	0.588439663699308	0.951859696938277	0.843217224864926	0.801762221271028	0.843217224864926	0.951859696938277	0.757478576310394	0.7698137736932	0.896801753003742	0.745683332314651	0.811363094917885	0.803313139128982	0.207226567087062	0.88698022535807	0.951859696938277	0.806745189439658	0.875827642902638	0.920069034800752	0.737693162386427	0.892030086808686	0.875827642902638	0.23542735478318	0.951859696938277	0.923967945964361	0.838000901246725	0.207226567087062	0.951859696938277	0.828093419303275	0.778689924024699	0.951859696938277	0.763953793460456	0.923601536340358	0.770513721655156	0.848793899587588	0.207226567087062	0.793029959732146	0.623019513244771	0.168911266495962
ZB_15	0.954631749399743	0.158787195565889	0.842172758083723	0.158787195565889	0.787356191939968	0.842172758083723	0.697746460437619	0.576303242392326	0.840177565758961	0.158787195565889	0.790787659555543	0.848271927219296	0.114871364122851	0	0.565592995982444	0.213603530419127	0.682659962053753	0.763762974641966	0.158787195565889	0.954631749399743	0.537438180019782	0.954631749399743	0.848271927219296	0.828093419303275	0.848271927219296	0.954631749399743	0.76995100300465	0.741288578165951	0.846021272404964	0.773234200743494	0.779662319497706	0.747997749979911	0.158787195565889	0.892204764999888	0.954631749399743	0.76329055268479	0.915922669448471	0.834254290068243	0.766446701650864	0.838901625408928	0.915922669448471	0.188711083930735	0.954631749399743	0.959952853833336	0.843391766632516	0.158787195565889	0.954631749399743	0.775913275913276	0.733762118091068	0.954631749399743	0.734702415986498	0.841781038517488	0.796923974050587	0.855783669901607	0.158787195565889	0.802182722614121	0.576303242392326	0.118130785897183
ZB_16	0.937377162896451	0.513895364597452	0.675440286716251	0.513895364597452	0.694967100399231	0.675440286716251	0.455541606608701	0.0402588996763754	0.693822497976801	0.513895364597452	0.700982923404448	0.820595519739761	0.647674379098291	0.565592995982444	0	0.543291123766058	0.501283202874374	0.559287946731893	0.513895364597452	0.937377162896451	0.177457235321313	0.937377162896451	0.820595519739761	0.79735471304978	0.820595519739761	0.937377162896451	0.694861999966926	0.529845540607872	0.631493296347665	0.654146849662545	0.740263622774833	0.637540709245522	0.513895364597452	0.861589156210429	0.937377162896451	0.554552343634482	0.885233472029589	0.685209449304405	0.641186864414745	0.69788257050393	0.885233472029589	0.412247024315111	0.937377162896451	0.945335182616736	0.813732357202483	0.513895364597452	0.937377162896451	0.735038074818867	0.557694440337128	0.937377162896451	0.56236807537256	0.616035300011561	0.683589255786565	0.814823874755382	0.513895364597452	0.749088931193908	0.0402588996763754	0.492281905797348
ZB_17	0.964322567896898	0.145106293411913	0.815092102663183	0.145106293411913	0.688320658417065	0.815092102663183	0.632597990939531	0.521113273092165	0.825564801194371	0.145106293411913	0.672492765846069	0.787155923281616	0.258886425011527	0.213603530419127	0.543291123766058	0	0.693795548552295	0.629207034140337	0.145106293411913	0.964322567896898	0.596693187722211	0.964322567896898	0.787155923281616	0.749836413604572	0.787155923281616	0.964322567896898	0.814863495439815	0.606732637664322	0.757349551013239	0.701616081986598	0.704017681871719	0.644082332761578	0.145106293411913	0.911502226474809	0.964322567896898	0.647352516095125	0.907974180516829	0.820657782071267	0.693156120663908	0.796759391397897	0.907974180516829	0.172461568239932	0.964322567896898	0.943651612619931	0.780801916813298	0.145106293411913	0.964322567896898	0.719845574442716	0.649703683726462	0.964322567896898	0.631558201771674	0.781247941686609	0.724090478462613	0.881601221801052	0.145106293411913	0.83632557479421	0.521113273092165	0.108261795507937
ZB_18	0.921758389908036	0.674783481862684	0.706302074100337	0.674783481862684	0.625516002646975	0.706302074100337	0.130130675154967	0.518110382666109	0.617458712504213	0.674783481862684	0.63388786198398	0.720039732352395	0.75573076528109	0.682659962053753	0.501283202874374	0.693795548552295	0	0.653141278253386	0.674783481862684	0.921758389908036	0.552559452495446	0.921758389908036	0.720039732352395	0.695020791129118	0.720039732352395	0.921758389908036	0.473800195886386	0.623698872129365	0.66723906852069	0.700473915823523	0.63433683160542	0.467015604771914	0.674783481862684	0.837341044372294	0.921758389908036	0.644695205129871	0.858034999428114	0.621531499345004	0.688807260577759	0.640188397264617	0.858034999428114	0.685128360929667	0.921758389908036	0.932380189866179	0.707301485860361	0.674783481862684	0.921758389908036	0.625689767542907	0.601251787925622	0.921758389908036	0.611049206423522	0.651343938562809	0.731033963967353	0.782382981601732	0.674783481862684	0.452004399438692	0.518110382666109	0.660856475926613
ZB_19	1	0.705402767024607	0.876849209584636	0.705402767024607	0.166313529658842	0.876849209584636	0.596847397744259	0.539566064229741	0.885491688182271	0.705402767024607	0.145993372847342	0.293200168012321	0.792288170169215	0.763762974641966	0.559287946731893	0.629207034140337	0.653141278253386	0	0.705402767024607	1	0.606776283009467	1	0.293200168012321	0.24528865450133	0.293200168012321	1	0.784617475200435	0.0294424061240205	0.829197807673144	0.153743715178693	0.186465674149438	0.359807719232744	0.705402767024607	0.74595603677603	1	0.0244924627806039	0.953499116727816	0.881442224939983	0.189862753091453	0.861720342437831	0.953499116727816	0.64853501510971	1	0.952088486489009	0.330414897092453	0.705402767024607	1	0.206785830960937	0.0857362866331476	1	0.0619649408887077	0.848919690175296	0.128072058617632	0.753435702314626	0.705402767024607	0.666222765774335	0.539566064229741	0.697404725846939
ZB_20	0.961835646680288	0	0.802202963902393	0	0.766682217886731	0.802202963902393	0.609786201414167	0.490290051504473	0.813405669461472	0	0.751293578759861	0.862774620408856	0.207226567087062	0.158787195565889	0.513895364597452	0.145106293411913	0.674783481862684	0.705402767024607	0	0.961835646680288	0.570734616427216	0.961835646680288	0.862774620408856	0.826490796505217	0.862774620408856	0.961835646680288	0.803138769457277	0.683522402127445	0.740435425914183	0.77589793651328	0.781943619758532	0.73660552871183	0	0.906389894507377	0.961835646680288	0.723068637021577	0.901559454191033	0.808156603020268	0.769716633920912	0.782592357735034	0.901559454191033	0.119197614529683	0.961835646680288	0.939723807510745	0.858795033495537	0	0.961835646680288	0.797332258885402	0.725357659810819	0.961835646680288	0.707691789813849	0.765999671199418	0.797778301410442	0.874761571100471	0	0.827228464419476	0.490290051504473	0.0461025388102116
ZB_21	0	0.961835646680288	0.807052956542389	0.961835646680288	1	0.807052956542389	0.931940023454515	0.939898289412853	0.795468848332285	0.961835646680288	1	1	0.951859696938277	0.954631749399743	0.937377162896451	0.964322567896898	0.921758389908036	1	0.961835646680288	0	0.93034122085048	0	1	1	1	0	0.879740980573543	0.97055759387598	0.852967788635541	0.966378382851941	1	1	0.961835646680288	1	0	1	0.612310628653227	0.80106506702577	0.964931968017955	0.824457167548882	0.612310628653227	0.963193241146559	0	1	1	0.961835646680288	0	1	0.968801297866009	0	0.969567863664029	0.836904702162895	1	0.893327206485706	0.961835646680288	0.918940489848855	0.939898289412853	0.959991136497932
