ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_17	ZB_18	ZB_19	ZB_21	ZB_22	ZB_24	ZB_25	ZB_26	ZB_27	ZB_29	ZB_30	ZB_32	ZB_33	ZB_34	ZB_36	ZB_37	ZB_38	ZB_41	ZB_43	ZB_44	ZB_45	ZB_46	ZB_48	ZB_49	ZB_51	ZB_52	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_62
ZB_27	0.953552971007475	0.453343558715178	0.355557068205381	0.21369696071408	0.953665155986509	0.719012763310101	0.252426930286624	0.704396225822329	0.214781929543306	0.206608617624088	0.729080752792982	0.949453866053464	0.958411388229402	0.950682895364164	0.296802913204046	0.697290844163324	0.712280771604324	0.745503209163504	0.194860131312426	0.262084980275334	0	0.685895840349053	0.276432590122942	0.247232963840176	0.17660740912703	0.233960795953648	0.43342467678471	0.957851993928657	0.252064958700826	0.147378947650383	0.745503209163504	0.21814621273209	0.950555784659219	0.745503209163504	0.276123269757458	0.953665155986509	0.953552971007475	0.913075168216371	0.17660740912703	0.313216582448641	0.216355468054581	0.241937036259275	1	0.20503332098452	0.957020285469711
ZB_29	0.756651647619332	0.735827856812636	0.816445651407209	0.698972254517907	0.757975645223516	0.0934747165805139	0.645835758262628	0.278751565015203	0.729105746034067	0.695438800256831	0.17335684403416	0.759508845437616	0.838452481076535	0.719808976282367	0.711794573457883	0.261415029256203	0.13429746786928	0.286575358815982	0.686880107564434	0.697565423684282	0.685895840349053	0	0.703445793631249	0.659827640905515	0.679781601292892	0.686038722719816	0.773016623256469	0.711896670669699	0.666542693897285	0.650553139816245	0.286575358815982	0.605727938248537	0.718032938030864	0.286575358815982	0.847969814995131	0.757975645223516	0.756651647619332	0.698637916347585	0.679781601292892	0.732909078045347	0.660177282452799	0.670093277403687	1	0.674182792968669	0.762552060709814
ZB_30	0.8560887511	0.520959825620142	0.53370209702779	0.0797855613858948	0.854063647175348	0.725033624429332	0.459080490253651	0.78611074276838	0.242724810093012	0.0880069711492925	0.732774650117272	0.923918686554415	0.904120176551933	0.904764885434348	0.0281526265597903	0.780969520165186	0.743272272632556	0.682073411858272	0.20881398868151	0.0194434446570308	0.276432590122942	0.703445793631249	0	0.180919102621221	0.227511220916746	0.0554433688836689	0.417874671841114	0.914561745818258	0.260255310374791	0.203405120199123	0.682073411858272	0.43427608024399	0.906789989358999	0.682073411858272	0.400053041353312	0.854063647175348	0.8560887511	0.75948024787272	0.227511220916746	0.0634593929843036	0.432980355755934	0.251731463855577	0.96191630832181	0.143590914279192	0.929583814809904
ZB_32	0.796910921725677	0.401354187943555	0.465117491883999	0.151751976273001	0.794520667011443	0.684590679744982	0.379520297608442	0.754651218378017	0.305183620217341	0.244517110492994	0.651361793299464	0.876971416899535	0.890017861721592	0.854363953220542	0.152766476061431	0.748753808110352	0.705511927371024	0.591518507090365	0.231370081939989	0.199815163241786	0.247232963840176	0.659827640905515	0.180919102621221	0	0.137071832633336	0.234801595045491	0.279681531153711	0.901995210798736	0.174089136235166	0.10981980444474	0.591518507090365	0.35106757467373	0.856754207934776	0.591518507090365	0.383051877505318	0.794520667011443	0.796910921725677	0.766910379565548	0.137071832633336	0.188073242485944	0.349581270833243	0.164452898988091	0.956314835659124	0.0421996428556562	0.919226774329533
ZB_33	0.805516243528587	0.366516898370637	0.43399081155408	0.195105215901383	0.803029412429634	0.666235910359766	0.343412417738575	0.777190460458762	0.324806017959144	0.2620060997815	0.631073319015668	0.86981195417734	0.883617617166482	0.845888883268107	0.199358594356956	0.734132915147139	0.688374638417637	0.591825107951077	0.112736834429302	0.216314805867967	0.17660740912703	0.679781601292892	0.227511220916746	0.137071832633336	0	0.251901621293664	0.267388601270545	0.896291969997287	0.081327214012584	0.0292284614766467	0.591825107951077	0.362603462592748	0.84841823524813	0.591825107951077	0.359739862947929	0.803029412429634	0.805516243528587	0.773814097827693	0	0.185142705730941	0.311731134483345	0.0709006481135347	0.953772643448748	0.0948721897776797	0.91452629836236
ZB_34	0.906492518293336	0.493677930548691	0.506331449474752	0.12910472440047	0.904460951438165	0.708893711067702	0.427329720710277	0.773555920115839	0.19827444436868	0.0344750131362034	0.717555855649	0.919585767268453	0.941182820988344	0.899341134898057	0.0820351189840606	0.76811291920533	0.728202927267549	0.731921825307413	0.163755025159852	0.0408770719030856	0.233960795953648	0.686038722719816	0.0554433688836689	0.234801595045491	0.251901621293664	0	0.466879919623828	0.909546710734785	0.314137802799062	0.227381848551921	0.731921825307413	0.401069347120664	0.901481570846484	0.731921825307413	0.364837492128306	0.904460951438165	0.906492518293336	0.809575698027903	0.251901621293664	0.0999074689983983	0.399697566493255	0.305613956279847	1	0.197473406703462	0.925450541692906
ZB_36	0.718056544350995	0.28442788825704	0.333219838182846	0.397816872968512	0.714738213893548	0.760875781855239	0.483869065462355	0.836485594897735	0.43599615014437	0.479572370143715	0.72112140008631	0.829202514691154	0.84731456566071	0.79781714189181	0.389722045281324	0.837639278119492	0.785905548247552	0.649526077439414	0.360653592011653	0.431781831882302	0.43342467678471	0.773016623256469	0.417874671841114	0.279681531153711	0.267388601270545	0.466879919623828	0	0.863942417916571	0.314184183147247	0.288452079820124	0.649526077439414	0.499957150610842	0.801135472349257	0.649526077439414	0.338660980198172	0.714738213893548	0.718056544350995	0.684229382778654	0.267388601270545	0.380846392611098	0.421910570529402	0.213985934395288	0.939352985894079	0.310078713281357	0.887864563850711
ZB_37	0.51742954355781	0.836289192662016	0.936959822471385	0.924707617145565	0.523043082845117	0.689277447089947	0.94488410088839	0.877277248827625	0.94562950322336	0.923327021622041	0.718892573109621	0.416168410563029	0.569353102953486	0.327056787323565	0.916967057082157	0.879599035230806	0.740878609170884	0.760075325559622	0.8986585776879	0.912867591658843	0.957851993928657	0.711896670669699	0.914561745818258	0.901995210798736	0.896291969997287	0.909546710734785	0.863942417916571	0	0.89186973158031	0.89932319615704	0.760075325559622	0.947094679449873	0.315827796486757	0.760075325559622	0.949868809064945	0.523043082845117	0.51742954355781	0.690950951774041	0.896291969997287	0.913928137953145	0.947205291697488	0.893056826750257	1	0.906130977901173	0.175823688528225
ZB_38	0.775928536494145	0.339504396942758	0.409855481074446	0.235949216719875	0.773291329823451	0.652003797577606	0.31541471273627	0.767978763464605	0.390113636811547	0.324857008627954	0.615341829933734	0.86426057519875	0.878654928699522	0.8393173950152	0.232102683815001	0.722796014461482	0.675086548328011	0.549315764741985	0.186526383098663	0.279151370995357	0.252064958700826	0.666542693897285	0.260255310374791	0.174089136235166	0.081327214012584	0.314137802799062	0.314184183147247	0.89186973158031	0	0.107640347193056	0.549315764741985	0.336251342392643	0.841954601685894	0.549315764741985	0.429954812317067	0.773291329823451	0.775928536494145	0.74451242898044	0.081327214012584	0.22461176257527	0.282382500455518	0.110953974480811	0.951801451902145	0.13188949337951	0.910881594215407
ZB_41	0.811107890668915	0.385032634802718	0.450534389313999	0.169435437389971	0.808692559021922	0.675991321196103	0.362603462592748	0.747961998982116	0.298525616066088	0.237170733187667	0.641856478298526	0.873617150459387	0.887019295159692	0.850393314106628	0.175252493639333	0.741903800994669	0.697482968293794	0.603560637998876	0.136973555746556	0.191795033126224	0.147378947650383	0.650553139816245	0.203405120199123	0.10981980444474	0.0292284614766467	0.227381848551921	0.288452079820124	0.89932319615704	0.107640347193056	0	0.603560637998876	0.333375001116101	0.852848737019742	0.603560637998876	0.377527508200478	0.808692559021922	0.811107890668915	0.779898271101762	0.0292284614766467	0.204848426643815	0.331848174504674	0.097512424751505	0.955123797958874	0.0676201615890842	0.917024563157942
