ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_13	1	1	1	0.764145643275636	1	1	0.819340560257382	0.638925294888598	1	0.595206391478029	1	1	0	0.93680920911163	0.933839145672453	1	0.94141920222203	0.638925294888598	1	1	1	1	0.764145643275636	1	1	0.448689888062035	1	0.638925294888598	1	1	1	1	1	1	0.933650929835256	0.559530352235823	1	1	0.799727396637892	1	1	0.935954435823671	0.790881920394706	0.933839145672453	0.675763148216256	1	1	1	0.766506872897741	1	1	1	1	1	1	1	1	0.790881920394706	1	1
ZB_14	0.199894727487747	0.178127886346873	0.791511897563342	0.74994346609379	0.131534357079731	0.925017260590483	0.712715415587168	0.82499247387359	0.848462269374586	0.860184583203777	0.131534357079731	0.905781985266091	0.93680920911163	0	0.109644958521896	0.820755782660988	0.0729535593017615	0.82499247387359	0.922484947847472	0.131534357079731	0.888183264761959	0.81487708799429	0.74994346609379	0.848462269374586	0.983394897881394	0.92229699292412	0.922484947847472	0.82499247387359	0.848462269374586	0.922484947847472	0.848462269374586	0.922484947847472	0.131534357079731	0.812243830737485	0.047600957609989	0.856537695141706	0.802290788805468	0.848462269374586	0.703013257201006	0.812243830737485	0.829529652938056	0.0791445184451082	0.758112477527053	0.109644958521896	0.844684080308816	0.848462269374586	0.131534357079731	0.772087788407428	0.788197174048275	0.848462269374586	0.912788562161713	0.843344545891398	0.983394897881394	0.848462269374586	0.983394897881394	0.812243830737485	0.131534357079731	0.758112477527053	0.808569169330135	0.178127886346873
ZB_15	0.15913810635464	0.219744439940728	0.818732804606516	0.778124686707818	0.173150910673586	0.883559466154017	0.755528515862654	0.854597099933165	0.800754186846094	0.853709933823801	0.173150910673586	0.862109852834125	0.933839145672453	0.109644958521896	0	0.813202733990489	0.114570112895616	0.854597099933165	0.918895338090133	0.173150910673586	0.918642664109493	0.846330879396637	0.778124686707818	0.800754186846094	0.946154250249529	0.879993395921982	0.918895338090133	0.854597099933165	0.800754186846094	0.918895338090133	0.800754186846094	0.918895338090133	0.173150910673586	0.841255746673732	0.0666899136954058	0.849794748257049	0.8482600005476	0.800754186846094	0.788197174048275	0.841255746673732	0.877462614016527	0.0319719292127975	0.74390243902439	0	0.795948998506578	0.800754186846094	0.173150910673586	0.852697467656303	0.735568782579763	0.800754186846094	0.923355159694622	0.83609005878221	0.946154250249529	0.800754186846094	0.946154250249529	0.841255746673732	0.173150910673586	0.74390243902439	0.815547737042412	0.219744439940728
ZB_16	0.843188432742433	0.781601812573671	0.103907448943454	0.527818490942135	0.732108952052909	0.532539389787638	0.363305348552023	0.781145570733423	0.237471676239659	0.722835150737652	0.732108952052909	0.51588765347526	1	0.820755782660988	0.813202733990489	0	0.747802223359226	0.781145570733423	0.658454971807978	0.732108952052909	0.735592019832369	0.12591558202034	0.527818490942135	0.237471676239659	0.810955367023239	0.84658969424845	0.658454971807978	0.781145570733423	0.237471676239659	0.658454971807978	0.237471676239659	0.658454971807978	0.732108952052909	0.429536064219101	0.850880202342273	0.760551635663887	0.166205891223484	0.237471676239659	0.453466654089237	0.429536064219101	0.448351261686941	0.818732804606516	0.434425748959372	0.813202733990489	0.607141329912337	0.237471676239659	0.732108952052909	0.249247550295322	0.38120590121873	0.237471676239659	0.609706444154016	0.363387258259999	0.810955367023239	0.237471676239659	0.810955367023239	0.429536064219101	0.732108952052909	0.434425748959372	0.0460942997888811	0.781601812573671
ZB_17	0.177250769138764	0.105174327045112	0.71855833826158	0.751622999076369	0.0585807977779697	0.882107473437303	0.675739070920242	0.837759895809107	0.807692052122026	0.855282305489292	0.0585807977779697	0.877907942562112	0.94141920222203	0.0729535593017615	0.114570112895616	0.747802223359226	0	0.837759895809107	0.913863103267262	0.0585807977779697	0.896340693587077	0.779557853189185	0.751622999076369	0.807692052122026	0.95232336387739	0.89374256609942	0.913863103267262	0.837759895809107	0.807692052122026	0.913863103267262	0.807692052122026	0.913863103267262	0.0585807977779697	0.810203796854339	0.11708185762793	0.867003780906753	0.767371239858332	0.807692052122026	0.707494700750201	0.810203796854339	0.841966071511632	0.0853262277979707	0.71986736924641	0.114570112895616	0.819327144784143	0.807692052122026	0.0585807977779697	0.738127354760687	0.749111254344056	0.807692052122026	0.88462586299695	0.839447681951984	0.95232336387739	0.807692052122026	0.95232336387739	0.810203796854339	0.0585807977779697	0.71986736924641	0.735615610028373	0.105174327045112
ZB_18	0.938501639860791	0.942934222854219	0.695139825291669	0.346799004788785	0.896340693587077	1	0.499661878317179	0	0.734356468523175	0.764145643275636	0.896340693587077	0.645500300718559	0.638925294888598	0.82499247387359	0.854597099933165	0.781145570733423	0.837759895809107	0	1	0.896340693587077	0.361074705111402	0.758600620796689	0.346799004788785	0.734356468523175	1	0.720933177170713	1	0	0.734356468523175	1	0.734356468523175	1	0.896340693587077	0.582653361513149	0.816245587892198	0.180250655307995	0.767780865093518	0.734356468523175	0.445343025897319	0.582653361513149	0.697324324324324	0.822625170720367	0.420845391147588	0.854597099933165	0.366433477889272	0.734356468523175	0.896340693587077	0.676523037365736	0.52523838891788	0.734356468523175	1	0.700393268947805	1	0.734356468523175	1	0.582653361513149	0.896340693587077	0.420845391147588	0.788718045467409	0.942934222854219
ZB_19	0.895306013665218	0.903738907659748	0.693944044386731	0.653200995211215	0.908503144476521	0.269360838687859	0.734359310641612	1	0.552088732248367	0.404793608521971	0.908503144476521	0.917210877302097	1	0.922484947847472	0.918895338090133	0.658454971807978	0.913863103267262	1	0	0.908503144476521	1	0.609253956292389	0.653200995211215	0.552088732248367	0.864953218351933	0.909782363129754	0	1	0.552088732248367	0	0.552088732248367	0	0.908503144476521	0.546161117529671	0.918668021087442	1	0.629723785312348	0.552088732248367	0.70552021808269	0.546161117529671	0.80706424698893	0.921451384214371	0.692513876369847	0.918895338090133	0.936541568450883	0.552088732248367	0.908503144476521	0.671073331641715	0.656672934820033	0.552088732248367	0.756264610589345	0.463496399304693	0.864953218351933	0.552088732248367	0.864953218351933	0.546161117529671	0.908503144476521	0.692513876369847	0.674198250728863	0.903738907659748
ZB_20	0.126054334860281	0.049492860520762	0.701045335516704	0.810203796854339	0	0.874771487256224	0.734319868698212	0.896340693587077	0.795725488258504	0.913863103267262	0	0.870310636165362	1	0.131534357079731	0.173150910673586	0.732108952052909	0.0585807977779697	0.896340693587077	0.908503144476521	0	0.889890384466074	0.765840609273206	0.810203796854339	0.795725488258504	0.949356635163082	0.95232336387739	0.908503144476521	0.896340693587077	0.795725488258504	0.908503144476521	0.795725488258504	0.908503144476521	0	0.798393528942595	0.175662655405899	0.925584578684723	0.752895671139282	0.795725488258504	0.766075498528171	0.798393528942595	0.83213224447158	0.14390702557594	0.77844816702438	0.173150910673586	0.877907942562112	0.795725488258504	0	0.721832054603076	0.807692052122026	0.795725488258504	0.877446586249003	0.8294571454788	0.949356635163082	0.795725488258504	0.949356635163082	0.798393528942595	0	0.77844816702438	0.719164013918985	0.049492860520762
ZB_22	0.934357563250019	0.939383244986836	0.631684570888915	0.582653361513149	0.889890384466074	1	0.680321318059796	0.361074705111402	0.664117329494331	1	0.889890384466074	0.50827661909989	1	0.888183264761959	0.918642664109493	0.735592019832369	0.896340693587077	0.361074705111402	1	0.889890384466074	0	0.70196401958697	0.582653361513149	0.664117329494331	1	1	1	0.361074705111402	0.664117329494331	1	0.664117329494331	1	0.889890384466074	0.453838882470329	0.882594658056942	0.541325360419397	0.715833544785587	0.664117329494331	0.645615629259428	0.453838882470329	0.602646891853534	0.886670734896696	0.629963470752882	0.918642664109493	0.645500300718559	0.664117329494331	0.889890384466074	0.604161380360315	0.734356468523175	0.664117329494331	1	0.60791933620418	1	0.664117329494331	1	0.453838882470329	0.889890384466074	0.629963470752882	0.74656588743805	0.939383244986836
ZB_23	0.877362470770793	0.815333469793968	0.216739464053831	0.479177444386963	0.765840609273206	0.658454971807978	0.453466654089237	0.758600620796689	0.363387258259999	0.691290990926627	0.765840609273206	0.6418032354956	1	0.81487708799429	0.846330879396637	0.12591558202034	0.779557853189185	0.758600620796689	0.609253956292389	0.765840609273206	0.70196401958697	0	0.479177444386963	0.363387258259999	0.936870949043579	0.948770579431259	0.609253956292389	0.758600620796689	0.363387258259999	0.609253956292389	0.363387258259999	0.609253956292389	0.765840609273206	0.356983180753673	0.845927161523492	0.733299992855612	0.0523865291782113	0.363387258259999	0.399307427528719	0.356983180753673	0.373046930789226	0.850880202342273	0.527818490942135	0.846330879396637	0.709322215095146	0.363387258259999	0.765840609273206	0.158208576503426	0.483386786401539	0.363387258259999	0.72981803558862	0.271680482290882	0.936870949043579	0.363387258259999	0.936870949043579	0.356983180753673	0.765840609273206	0.527818490942135	0.166205891223484	0.815333469793968
