ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_14	ZB_15	ZB_16	ZB_17	ZB_19	ZB_20	ZB_21	ZB_23	ZB_25	ZB_26	ZB_27	ZB_30	ZB_31	ZB_32	ZB_33	ZB_35	ZB_38	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_48	ZB_50	ZB_52	ZB_55	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_12	0.852142595268391	1	0.968973120537589	0.883213370886795	0.891755336947066	1	0.969777550498594	1	1	0.883213370886795	0	0.888480213644088	0.882319033650582	0.908130519978417	0.852142595268391	0.609106800614983	0.883213370886795	1	0.908130519978417	0.221709161480292	0.616759908829885	0.221709161480292	0.388971805933226	0.895307443365696	0.450897591274049	0.0615857605177993	0.883213370886795	0.566787124406076	1	0.581003236245955	0.917284581948351	1	1	0.888480213644088	1	0.20221751451289	0.892251427593729	1	0.221709161480292	0.441858232951001	1	0.176525714934825	1	0.883213370886795	1	0.917284581948351	0.883213370886795
ZB_14	0.194386395695105	0.983560577811644	0.916206654670774	0.0720056569425429	0.962505993287518	0.983560577811644	0.900744152002196	0.913636289943419	0.983560577811644	0.0720056569425429	0.888480213644088	0	0.0699242878682252	0.877369346332108	0.194386395695105	0.896366569278841	0.0720056569425429	0.913636289943419	0.877369346332108	0.878725875861341	0.898899249807193	0.878725875861341	0.848935240117405	0.9463001438389	0.853521183618271	0.874820532328723	0.0720056569425429	0.89305526713934	0.983560577811644	0.878014773502625	0.884559254968631	0.983560577811644	0.913636289943419	0	0.983560577811644	0.895545297434964	0.163125474872463	0.983560577811644	0.878725875861341	0.823462871738734	0.983560577811644	0.821894442331055	0.983560577811644	0.0720056569425429	0.983560577811644	0.884559254968631	0.0720056569425429
ZB_15	0.250718353273079	0.982324640914796	0.981975662569764	0.136895000526577	0.959730161182347	0.982324640914796	0.966513159901186	0.983560577811644	0.982324640914796	0.136895000526577	0.882319033650582	0.0699242878682252	0	0.9463001438389	0.250718353273079	0.891066685638399	0.136895000526577	0.983560577811644	0.9463001438389	0.871404375638639	0.892391271902331	0.871404375638639	0.893825849830346	0.942324527524589	0.897049028116989	0.86782502785768	0.136895000526577	0.885745978924015	0.982324640914796	0.869677521590999	0.949448598552665	0.982324640914796	0.983560577811644	0.0699242878682252	0.982324640914796	0.890158897165198	0.221643330077065	0.982324640914796	0.871404375638639	0.875922885118288	0.982324640914796	0.874820532328723	0.982324640914796	0.136895000526577	0.982324640914796	0.949448598552665	0.136895000526577
ZB_16	0.888171986834544	0.881569726699369	0.558953367043904	0.871184196669024	0.622167717822939	0.881569726699369	0.47756641785055	0.377832282177061	0.881569726699369	0.871184196669024	0.908130519978417	0.877369346332108	0.9463001438389	0	0.888171986834544	0.94463194165821	0.871184196669024	0.377832282177061	0	0.920409824942326	0.898265394622723	0.920409824942326	0.824947353356096	0.503737444522308	0.85470004544766	0.904580694629824	0.871184196669024	0.877576579867453	0.881569726699369	0.824662109273078	0.312785937876234	0.881569726699369	0.377832282177061	0.877369346332108	0.881569726699369	0.943705907760234	0.883832627808531	0.881569726699369	0.920409824942326	0.786487464173415	0.881569726699369	0.782097520801976	0.881569726699369	0.871184196669024	0.881569726699369	0.312785937876234	0.871184196669024
ZB_17	0	0.986756177838148	0.877331382895356	0.131876599968654	0.957747766574369	0.986756177838148	0.864087560733504	0.930424220260174	0.986756177838148	0.131876599968654	0.852142595268391	0.194386395695105	0.250718353273079	0.888171986834544	0	0.741104335589359	0.131876599968654	0.930424220260174	0.888171986834544	0.852610889530005	0.865044167142562	0.852610889530005	0.744936234058515	0.944503944412518	0.714848712178044	0.8507947119843	0.131876599968654	0.912394746114871	0.986756177838148	0.900074118175964	0.837273392194765	0.986756177838148	0.930424220260174	0.194386395695105	0.986756177838148	0.792059349996765	0.206847173661412	0.986756177838148	0.852610889530005	0.717118194043747	0.986756177838148	0.804287347150036	0.986756177838148	0.131876599968654	0.986756177838148	0.837273392194765	0.131876599968654
ZB_19	0.741104335589359	1	0.874493426905209	0.853872098997074	0.936669906057661	1	0.877561351911673	1	1	0.853872098997074	0.609106800614983	0.896366569278841	0.891066685638399	0.94463194165821	0.741104335589359	0	0.853872098997074	1	0.94463194165821	0.724781078296703	0.534116996266077	0.724781078296703	0.389145584002424	0.938357244206211	0.30362680328974	0.610133176490358	0.853872098997074	0.641902917991979	1	0.65167209233501	0.852658658044417	1	1	0.896366569278841	1	0.462976476648352	0.773046080993545	1	0.724781078296703	0.628575280725746	1	0.642520079354379	1	0.853872098997074	1	0.852658658044417	0.853872098997074
ZB_20	0.131876599968654	0.984744309206072	0.858696796906736	0	0.951329231046986	0.984744309206072	0.843441106112808	0.919854965622038	0.984744309206072	0	0.883213370886795	0.0720056569425429	0.136895000526577	0.871184196669024	0.131876599968654	0.853872098997074	0	0.919854965622038	0.871184196669024	0.885932455922523	0.846171957232286	0.885932455922523	0.845931482870718	0.936073540253058	0.815843960990248	0.881764549068697	0	0.900144036341477	0.984744309206072	0.886100493047477	0.812553598026088	0.984744309206072	0.919854965622038	0.0720056569425429	0.984744309206072	0.900935970152473	0.0981900575274069	0.984744309206072	0.885932455922523	0.833174331329525	0.984744309206072	0.83177440105706	0.984744309206072	0	0.984744309206072	0.812553598026088	0
ZB_21	0.930424220260174	0.809648958137789	0.585527580242168	0.919854965622038	1	0.809648958137789	0.488083797808956	0	0.809648958137789	0.919854965622038	1	0.913636289943419	0.983560577811644	0.377832282177061	0.930424220260174	1	0.919854965622038	0	0.377832282177061	1	1	1	0.891087894338697	0.881569726699369	0.897397869758662	0.97045798857942	0.919854965622038	1	0.809648958137789	0.944511327569224	0.572437595312625	0.809648958137789	0	0.913636289943419	0.809648958137789	1	0.927724411158146	0.809648958137789	1	0.848008445560374	0.809648958137789	0.844802470574525	0.809648958137789	0.919854965622038	0.809648958137789	0.572437595312625	0.919854965622038
ZB_23	0.888171986834544	0.881569726699369	0.558953367043904	0.871184196669024	0.622167717822939	0.881569726699369	0.47756641785055	0.377832282177061	0.881569726699369	0.871184196669024	0.908130519978417	0.877369346332108	0.9463001438389	0	0.888171986834544	0.94463194165821	0.871184196669024	0.377832282177061	0	0.920409824942326	0.898265394622723	0.920409824942326	0.824947353356096	0.503737444522308	0.85470004544766	0.904580694629824	0.871184196669024	0.877576579867453	0.881569726699369	0.824662109273078	0.312785937876234	0.881569726699369	0.377832282177061	0.877369346332108	0.881569726699369	0.943705907760234	0.883832627808531	0.881569726699369	0.920409824942326	0.786487464173415	0.881569726699369	0.782097520801976	0.881569726699369	0.871184196669024	0.881569726699369	0.312785937876234	0.871184196669024
ZB_25	0.852610889530005	1	0.962440419447092	0.885932455922523	0.902853120212017	1	0.96361285555966	1	1	0.885932455922523	0.221709161480292	0.878725875861341	0.871404375638639	0.920409824942326	0.852610889530005	0.724781078296703	0.885932455922523	1	0.920409824942326	0	0.78081109016842	0	0.524442354480587	0.906767873465008	0.551994452897783	0.224950851354503	0.885932455922523	0.751353588302238	1	0.759754756589251	0.929703652653342	1	1	0.878725875861341	1	0.344012634666366	0.895337047290293	1	0	0.336338735448528	1	0.322340053606806	1	0.885932455922523	1	0.929703652653342	0.885932455922523
