ZB_1	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_32	ZB_33	ZB_34	ZB_36	ZB_37	ZB_38	ZB_39	ZB_41	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_59	ZB_62
ZB_24	0.703108264602102	0.099640063467368	0.714837170991972	0.856673921575623	0.488443306376556	0.04797585532867	0.718208559775522	0.789341494437665	0.868960305335211	0.66819041715898	0.836469720271001	0.874776590880751	0.618399862311447	0.857526573273389	0.646888898125442	0.607679824938839	0.278450491635683	0.777744166397196	0.874776590880751	0.868960305335211	0.86630380743926	0	0.614146473253252	0.532962979037368	0.874776590880751	0.868960305335211	0.787996508611681	0.253114014148691	0.226666067496517	0.570705038576444	0.478287497166886	0.106962271489693	0.716044102767376	0.27712435320612	0.803168613976045	0.608064337662076	0.0437850752903262	0.868960305335211	0.666981338729698	0	0.868960305335211	0.854798460644204	0.266886886782082	0.881263679857439	0.172429972896717	0.0745247664734246	0.868960305335211	0.572607284598952	0.560826353022872	0.868960305335211	0.226666067496517	0.251526635609681	0.728004080552166
ZB_25	0.333614598515261	0.610187017431515	0.693414115980801	0.665796508041517	0.505033417914656	0.629183580740674	0.404760406011488	0.708315080862172	0.524839750753194	0.753936692338811	0.382550935569522	0.448465451424587	0.56996616570934	0.52896491785195	0.488252268539443	0.593214751207544	0.446567548178017	0.444545617144437	0.448465451424587	0.524839750753194	0.814879712490054	0.614146473253252	0	0.562870363747407	0.448465451424587	0.524839750753194	0.711771489695977	0.460589577034176	0.441488538374352	0.329694761703572	0.535537918397395	0.607745165873523	0.401495003540798	0.447319531597411	0.416656981681969	0.293338493329731	0.627858732035838	0.524839750753194	0.327476591391927	0.614146473253252	0.524839750753194	0.50176863935909	0.440708520325027	0.89053289720263	0.584472407638465	0.618336459644885	0.524839750753194	0.286694389510471	0.426563173781802	0.524839750753194	0.441488538374352	0.4272496390132	0.62338521505136
ZB_26	0.593510609399052	0.51322423401754	0.79145191554046	0.749673557122481	0.241923511745024	0.495324759245596	0.635499207606973	0.823359004701029	0.644093560202763	0.788993261057115	0.563071983578191	0.58688737553319	0.775885463489812	0.570300729223166	0.396219766944354	0.739183028352648	0.305185442375668	0.553914411937582	0.58688737553319	0.644093560202763	0.884042657916325	0.532962979037368	0.562870363747407	0	0.58688737553319	0.644093560202763	0.775592613890486	0.279848964888677	0.31404886940671	0.523245460616275	0.216876894494964	0.548109891063756	0.596477107028288	0.303859303946106	0.643762284876409	0.50370750438611	0.498763074519335	0.644093560202763	0.579707922226198	0.532962979037368	0.644093560202763	0.506753182399539	0.398842110958628	0.906639288158795	0.599245788907696	0.522773413576764	0.644093560202763	0.486869318329817	0.303910498062992	0.644093560202763	0.31404886940671	0.338059208464139	0.833582094098582
ZB_27	0.423523286839194	0.873491604423752	0.737416655771996	0.394047947092863	0.610939086454477	0.879656675504426	0.465426200653759	0.656754678287619	0.138476002139627	0.729136229799285	0.106752960935916	0	0.775747369204574	0.269044049894792	0.415536923878547	0.779328151179718	0.694762882517379	0.396091353255312	0	0.138476002139627	0.743289409468033	0.874776590880751	0.448465451424587	0.58688737553319	0	0.138476002139627	0.698295070475427	0.702496515872671	0.691961633138104	0.614416401268109	0.616038587210207	0.872699135376668	0.467648237179487	0.69517762735313	0.279751741333984	0.592454855653107	0.879226714237037	0.138476002139627	0.51348778456159	0.874776590880751	0.138476002139627	0.162462666304643	0.712271888178516	0.808855901951452	0.865146284556894	0.876136392836036	0.138476002139627	0.562820658181921	0.570260311091607	0.138476002139627	0.691961633138104	0.68410838820674	0.697659248852204
ZB_28	0.364652441575518	0.867552507501072	0.710469097243078	0.53252394923249	0.664814686351052	0.874294595637706	0.415175722365265	0.609209566274828	0	0.700369223883937	0.23044623982857	0.138476002139627	0.756383043240949	0.171731338631759	0.496471034058074	0.760603110908043	0.737030898250996	0.331168912882077	0.138476002139627	0	0.704831214379658	0.868960305335211	0.524839750753194	0.644093560202763	0.138476002139627	0	0.662167276397124	0.743693608977234	0.734617554686759	0.588940448569219	0.669208028629221	0.866683629444432	0.417834101887247	0.737388210879984	0.185453096504268	0.56388670080084	0.873825390925605	0	0.472215602160788	0.868960305335211	0	0.278441487917459	0.698319900102168	0.781032220688715	0.85837681568185	0.870448608378753	0	0.623359505654922	0.629768945172368	0	0.734617554686759	0.727851795717314	0.661369863013699
ZB_29	0.663249169505737	0.785417872096858	0.21960625126852	0.566323592917806	0.788092336281691	0.740020653283011	0.534616315662067	0.228584939118099	0.662167276397124	0.475386092532018	0.723787804123357	0.698295070475427	0.394800103024926	0.507702227268267	0.805233215890358	0.409535110987017	0.790737946218737	0.51921486598239	0.698295070475427	0.662167276397124	0.635434264674031	0.787996508611681	0.711771489695977	0.775592613890486	0.698295070475427	0.662167276397124	0	0.796039909533248	0.788817487779426	0.672892498066512	0.790751155807636	0.783822745933749	0.536731765556371	0.79102228370967	0.581505467111598	0.652955559931732	0.79685236014089	0.662167276397124	0.580006752462663	0.787996508611681	0.662167276397124	0.737602473517468	0.812539065684703	0.7313417234603	0.768431795140358	0.790714749482703	0.662167276397124	0.700282037472718	0.705382455993703	0.662167276397124	0.788817487779426	0.783433522104681	0.309260594408395
ZB_30	0.596588689727008	0.262541652802492	0.738644638301771	0.819727153046019	0.235329292227864	0.215475794356919	0.561737771798099	0.842662114395112	0.743693608977234	0.752176072604873	0.666941538995703	0.702496515872671	0.662987235314825	0.690551625363482	0.490979847518192	0.654577106510616	0.0253364774869918	0.616784572428859	0.702496515872671	0.743693608977234	0.900144187414705	0.253114014148691	0.460589577034176	0.279848964888677	0.702496515872671	0.743693608977234	0.796039909533248	0	0.0341999045180331	0.3764738220274	0.225173483018195	0.268260926175079	0.55973650834985	0.024010339057429	0.68533869575491	0.412294026590281	0.218914109630658	0.743693608977234	0.514372929415679	0.253114014148691	0.743693608977234	0.644787793739662	0.150403387198665	0.911317506473967	0.319396824019019	0.242924448688087	0.743693608977234	0.31949327045026	0.307712338874181	0.743693608977234	0.0341999045180331	0.0582102435754621	0.796850059555671
ZB_32	0.58230350963915	0.296741557320525	0.72938979513374	0.813343519225872	0.269529196745897	0.187695042366323	0.546218487394958	0.837090629478173	0.734617554686759	0.743400390459214	0.655147620545545	0.691961633138104	0.6510532911917	0.679593762638745	0.472954957384023	0.642345351687912	0.0595363820050249	0.603214547851226	0.691961633138104	0.734617554686759	0.89660819764626	0.226666067496517	0.441488538374352	0.31404886940671	0.691961633138104	0.734617554686759	0.788817487779426	0.0341999045180331	0	0.410673726545433	0.259373387536228	0.302460830693112	0.544146357295146	0.0582102435754621	0.674196238210079	0.446493931108314	0.253114014148691	0.734617554686759	0.49717641067122	0.226666067496517	0.734617554686759	0.678987698257695	0.184603291716698	0.908177174613161	0.353596728537052	0.27712435320612	0.734617554686759	0.353693174968293	0.341912243392214	0.734617554686759	0	0.0248605681131633	0.789656325988506
ZB_33	0.464082221420844	0.512870233271331	0.580843000773395	0.790776463077559	0.408605182126253	0.531449609206039	0.297122969837587	0.747664346481052	0.588940448569219	0.718739806844128	0.626074429106726	0.614416401268109	0.459505027068832	0.503712296983759	0.581904802159251	0.510239186203419	0.360265195556985	0.452133102006317	0.614416401268109	0.588940448569219	0.83985305491106	0.570705038576444	0.329694761703572	0.523245460616275	0.614416401268109	0.588940448569219	0.672892498066512	0.3764738220274	0.410673726545433	0	0.475011701349994	0.509806832703229	0.293913379737046	0.361134443401354	0.495351894818252	0.0574477958236659	0.53503565932021	0.588940448569219	0.221160092807425	0.570705038576444	0.588940448569219	0.527600240853725	0.339647253852216	0.90469374587471	0.480602733876813	0.523092954752975	0.588940448569219	0.08373253210125	0.417511483320187	0.588940448569219	0.410673726545433	0.396175700380454	0.674191802010828
ZB_34	0.619549925703276	0.457454710011264	0.781725197591482	0.7673377936829	0.208205646292866	0.440649277375114	0.573729688049259	0.835424887791065	0.669208028629221	0.789480894592034	0.570150925781858	0.616038587210207	0.714907587006443	0.600622374358176	0.441394975792241	0.705186944017123	0.250509960505186	0.583742723857491	0.616038587210207	0.669208028629221	0.892073323437968	0.478287497166886	0.535537918397395	0.216876894494964	0.616038587210207	0.669208028629221	0.790751155807636	0.225173483018195	0.259373387536228	0.475011701349994	0	0.493434409193274	0.595567743517713	0.249183822075624	0.667582757827566	0.481721897720006	0.444087592648853	0.669208028629221	0.545300229854351	0.478287497166886	0.669208028629221	0.541559047767232	0.343072586952351	0.922684009770537	0.544570307037214	0.468097931706282	0.669208028629221	0.439727642150324	0.366695478045193	0.669208028629221	0.259373387536228	0.283383726593657	0.791752061388876
