ZB_1	ZB_3	ZB_4	ZB_6	ZB_7	ZB_8	ZB_13	ZB_14	ZB_18	ZB_19	ZB_20	ZB_24	ZB_25	ZB_26	ZB_29	ZB_30	ZB_32	ZB_33	ZB_34	ZB_36	ZB_37	ZB_38	ZB_41	ZB_43	ZB_45	ZB_46	ZB_49	ZB_51	ZB_52	ZB_54	ZB_55	ZB_57	ZB_58	ZB_59	ZB_62
ZB_24	0.683390511571485	0.177885109444045	0.437293453950663	0.691956424051786	0.0963758435241325	0.783828351560871	0.818980070197598	0.783828351560871	0.560870581166338	0.584658969993616	0.827081635360792	0	0.619041301010254	1	0.832009704505392	0.555010383900703	0.408119941621335	0.412468078314535	0.818980070197598	0.298268248563524	0.783828351560871	0.408119941621335	0.463522753494699	0.149779056623163	0.560870581166338	0.195022962725622	0.298268248563524	0	0.195022962725622	0.243431644572329	0.680467336256209	0.408119941621335	0.75122675835364	0.177885109444045	0.832009704505392
ZB_25	0.716994945093254	0.625207451470341	0.508209156084073	0.946188088918847	0.655756516973247	0.608542025528908	0.936923887279431	0.608542025528908	0.689373363674178	0.625382092000298	0.709332626650766	0.619041301010254	0	1	0.559032787700881	0.755098214543252	0.356358279693855	0.698204150274783	0.936923887279431	0.732669184932965	0.608542025528908	0.356358279693855	0.727482271907583	0.709159730072278	0.689373363674178	0.693336995163333	0.732669184932965	0.619041301010254	0.693336995163333	0.59640562248996	0.799428065851424	0.356358279693855	0.900018263887077	0.625207451470341	0.559032787700881
ZB_26	1	1	1	0.591857163657542	1	1	0.495897493537147	1	1	0.582028628942071	1	1	1	0	1	0.66135608577469	1	0.663278176521817	0.495897493537147	0.701731751436476	1	1	0.695944571746234	1	1	1	0.701731751436476	1	1	1	0.598765432098766	1	1	1	1
ZB_29	1	0.834728774684394	0.783136362524163	1	0.848199910937553	0.222884699693117	1	0.222884699693117	0.735156133273569	0.834805785432044	0.422972380534853	0.832009704505392	0.559032787700881	1	0	0.866158260344307	0.71617510487719	0.866917925463227	1	0.882115875718238	0.222884699693117	0.71617510487719	0.879828617140998	0.839635955706738	0.735156133273569	0.864771669641904	0.882115875718238	0.832009704505392	0.864771669641904	0.822028112449799	0.841420647700841	0.71617510487719	1	0.834728774684394	0
ZB_30	0.74774992449411	0.559652433088562	0.510169727323317	0.419854197368249	0.58347543369029	0.87110613420203	0.328224101479915	0.87110613420203	0.550289404031296	0.332331663884252	0.904293068846165	0.555010383900703	0.755098214543252	0.66135608577469	0.866158260344307	0	0.644309961046188	0.386936931466255	0.328224101479915	0.282660707562637	0.87110613420203	0.644309961046188	0.30004007821324	0.568168960965491	0.550289404031296	0.50213718936862	0.282660707562637	0.555010383900703	0.50213718936862	0.681081326876293	0.224164509467438	0.644309961046188	0.666868015705225	0.559652433088562	0.866158260344307
ZB_32	0.465078297627053	0.417700039159379	0.542189869578405	0.953460692988742	0.465162881512691	0.634771191597015	0.946688925987757	0.634771191597015	0.691901728844404	0.417971371057929	0.707848976846959	0.408119941621335	0.356358279693855	1	0.71617510487719	0.644309961046188	0	0.698858799744627	0.946688925987757	0.584658969993616	0.634771191597015	0	0.725027022431655	0.518566094611722	0.691901728844404	0.523550144184556	0.584658969993616	0.408119941621335	0.523550144184556	0.612218682560888	0.788021702838063	0	0.922515418056819	0.417700039159379	0.71617510487719
ZB_33	0.892024898914663	0.512269369269035	0.542879611676813	0.352039917020325	0.45337887168826	0.828748611069402	0.493851097582471	0.828748611069402	0.643268748389896	0.400590551181102	0.863013904321451	0.412468078314535	0.698204150274783	0.663278176521817	0.866917925463227	0.386936931466255	0.698858799744627	0	0.493851097582471	0.114199829751011	0.828748611069402	0.698858799744627	0.0970130028609006	0.491962727846457	0.643268748389896	0.497840074574267	0.114199829751011	0.412468078314535	0.497840074574267	0.388397369331949	0.33921332013613	0.698858799744627	0.797906525836237	0.512269369269035	0.866917925463227
ZB_34	0.933190369091828	0.820868436549809	0.651467753657535	0.190357454863133	0.83055953436555	1	0	1	0.605296117373412	0.634710628825821	1	0.818980070197598	0.936923887279431	0.495897493537147	1	0.328224101479915	0.946688925987757	0.493851097582471	0	0.546630393859532	1	0.946688925987757	0.396838094721571	0.82433292475957	0.605296117373412	0.749221290043881	0.546630393859532	0.818980070197598	0.749221290043881	0.812232300327539	0.204061549472178	0.946688925987757	0.504102506462853	0.820868436549809	1
ZB_36	0.777825069163652	0.406021457474849	0.590546399640511	0.41960674771372	0.347130959894074	0.8483054905299	0.546630393859532	0.8483054905299	0.680467336256209	0.286390721430092	0.878657693126197	0.298268248563524	0.732669184932965	0.701731751436476	0.882115875718238	0.282660707562637	0.584658969993616	0.114199829751011	0.546630393859532	0	0.8483054905299	0.584658969993616	0.191173077156633	0.38571481605227	0.680467336256209	0.400234181388264	0	0.298268248563524	0.400234181388264	0.45337887168826	0.408117659918143	0.584658969993616	0.818980070197598	0.406021457474849	0.882115875718238
ZB_37	1	0.787327279169075	0.7209376299885	1	0.804662076525194	0	1	0	0.659196175108322	0.787426377395064	0.200087680841736	0.783828351560871	0.608542025528908	1	0.222884699693117	0.87110613420203	0.634771191597015	0.828748611069402	1	0.8483054905299	0	0.634771191597015	0.845362222553659	0.793641890424839	0.659196175108322	0.825986786896752	0.8483054905299	0.783828351560871	0.825986786896752	0.770983935742972	0.795938450527823	0.634771191597015	1	0.787327279169075	0.222884699693117
ZB_38	0.465078297627053	0.417700039159379	0.542189869578405	0.953460692988742	0.465162881512691	0.634771191597015	0.946688925987757	0.634771191597015	0.691901728844404	0.417971371057929	0.707848976846959	0.408119941621335	0.356358279693855	1	0.71617510487719	0.644309961046188	0	0.698858799744627	0.946688925987757	0.584658969993616	0.634771191597015	0	0.725027022431655	0.518566094611722	0.691901728844404	0.523550144184556	0.584658969993616	0.408119941621335	0.523550144184556	0.612218682560888	0.788021702838063	0	0.922515418056819	0.417700039159379	0.71617510487719
