ZB_2	ZB_5	ZB_6	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_17	ZB_18	ZB_19	ZB_20	ZB_23	ZB_25	ZB_26	ZB_27	ZB_29	ZB_30	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_41	ZB_45	ZB_48	ZB_50	ZB_54	ZB_55	ZB_57	ZB_59	ZB_60	ZB_61	ZB_64
ZB_29	1	0.836589317515365	0.382013368442374	1	0.382013368442374	0.382013368442374	1	1	0.818227855642771	1	0.382013368442374	1	1	0.382013368442374	0.382013368442374	0.382013368442374	0	0.382013368442374	0.382013368442374	0.382013368442374	1	1	1	1	0.382013368442374	0.382013368442374	1	0.382013368442374	1	0.836589317515365	0.382013368442374	0.382013368442374	0.382013368442374	1	1	1
ZB_30	1	0.735575699958491	0	1	0	0	1	1	0.836589317515365	1	0	1	1	0	0	0	0.382013368442374	0	0	0	0.617986631557626	1	0.617986631557626	1	0	0	1	0	0.898986382443126	0.735575699958491	0	0	0	1	0.898986382443126	1
ZB_32	1	0.735575699958491	0	1	0	0	1	1	0.836589317515365	1	0	1	1	0	0	0	0.382013368442374	0	0	0	0.617986631557626	1	0.617986631557626	1	0	0	1	0	0.898986382443126	0.735575699958491	0	0	0	1	0.898986382443126	1
ZB_33	1	0.735575699958491	0	1	0	0	1	1	0.836589317515365	1	0	1	1	0	0	0	0.382013368442374	0	0	0	0.617986631557626	1	0.617986631557626	1	0	0	1	0	0.898986382443126	0.735575699958491	0	0	0	1	0.898986382443126	1
ZB_34	1	0.898986382443126	0.617986631557626	1	0.617986631557626	0.617986631557626	1	1	1	1	0.617986631557626	1	1	0.617986631557626	0.617986631557626	0.617986631557626	1	0.617986631557626	0.617986631557626	0.617986631557626	0	1	0	1	0.617986631557626	0.617986631557626	1	0.617986631557626	0.879255429824421	0.898986382443126	0.617986631557626	0.617986631557626	0.617986631557626	1	0.879255429824421	1
ZB_35	0	0.264424300041509	1	0	1	1	0	0	0.181772144357229	0	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	0.120744570175579	0.264424300041509	1	1	1	0	0.120744570175579	0
ZB_36	1	0.898986382443126	0.617986631557626	1	0.617986631557626	0.617986631557626	1	1	1	1	0.617986631557626	1	1	0.617986631557626	0.617986631557626	0.617986631557626	1	0.617986631557626	0.617986631557626	0.617986631557626	0	1	0	1	0.617986631557626	0.617986631557626	1	0.617986631557626	0.879255429824421	0.898986382443126	0.617986631557626	0.617986631557626	0.617986631557626	1	0.879255429824421	1
ZB_37	0	0.264424300041509	1	0	1	1	0	0	0.181772144357229	0	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	0.120744570175579	0.264424300041509	1	1	1	0	0.120744570175579	0
ZB_38	1	0.735575699958491	0	1	0	0	1	1	0.836589317515365	1	0	1	1	0	0	0	0.382013368442374	0	0	0	0.617986631557626	1	0.617986631557626	1	0	0	1	0	0.898986382443126	0.735575699958491	0	0	0	1	0.898986382443126	1
ZB_41	1	0.735575699958491	0	1	0	0	1	1	0.836589317515365	1	0	1	1	0	0	0	0.382013368442374	0	0	0	0.617986631557626	1	0.617986631557626	1	0	0	1	0	0.898986382443126	0.735575699958491	0	0	0	1	0.898986382443126	1
