ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_19	ZB_20	ZB_21	ZB_23	ZB_25	ZB_26	ZB_27	ZB_28	ZB_30	ZB_31	ZB_32	ZB_33	ZB_35	ZB_37	ZB_38	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_50	ZB_52	ZB_53	ZB_54	ZB_55	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_12	0.854321577188076	0.666206429427395	0.666675338189386	0.924456105182478	0.114345685799245	0.902834652834653	0.694236964562701	0.666675338189386	0.694236964562701	0.920948884844372	0	0	0.835783402755527	0.833899403681618	0.68025852818606	0.842765983556265	0.149558498896247	0.842765983556265	0.666675338189386	0.55869707133692	0.370425754027594	0	0.370425754027594	0.918672103010508	0.749127612737916	0.699161794745369	0.171698995092311	0.118727932766423	0.920948884844372	0.666675338189386	0.0779656607700312	0.666675338189386	0.129784674310688	0.700560878709979	0.666206429427395	0.666206429427395	0.839149865675764	0.68540843133885	0.920948884844372	0.912895094046926	0.687167342155379	0	0.740249175522169	0.154205942011693	0.666675338189386	0.104839117037935	0.68025852818606	0.924456105182478	0.664677710606893	0.711568331720055	0.854321577188076
ZB_13	0.854321577188076	0.666206429427395	0.666675338189386	0.924456105182478	0.114345685799245	0.902834652834653	0.694236964562701	0.666675338189386	0.694236964562701	0.920948884844372	0	0	0.835783402755527	0.833899403681618	0.68025852818606	0.842765983556265	0.149558498896247	0.842765983556265	0.666675338189386	0.55869707133692	0.370425754027594	0	0.370425754027594	0.918672103010508	0.749127612737916	0.699161794745369	0.171698995092311	0.118727932766423	0.920948884844372	0.666675338189386	0.0779656607700312	0.666675338189386	0.129784674310688	0.700560878709979	0.666206429427395	0.666206429427395	0.839149865675764	0.68540843133885	0.920948884844372	0.912895094046926	0.687167342155379	0	0.740249175522169	0.154205942011693	0.666675338189386	0.104839117037935	0.68025852818606	0.924456105182478	0.664677710606893	0.711568331720055	0.854321577188076
ZB_14	0.151996203539281	0.715569997292174	0.714595180070403	0.623111988025582	0.802204423912225	0.728957892623875	0.731396534148828	0.714595180070403	0.731396534148828	0.602775088738303	0.835783402755527	0.835783402755527	0	0.0727888054990531	0.72276776320404	0.058868501529052	0.808798625598233	0.058868501529052	0.714595180070403	0.720826796240727	0.909102394923772	0.835783402755527	0.909102394923772	0.779491505869459	0.782302353370936	0.678614014168479	0.770489750428892	0.802697321462113	0.602775088738303	0.714595180070403	0.797372636975328	0.714595180070403	0.768035885933996	0.67973159522603	0.715569997292174	0.715569997292174	0.0286350564634916	0.673273761169781	0.602775088738303	0.76390068403255	0.669139814062641	0.835783402755527	0.798573405727669	0.805988464842312	0.714595180070403	0.807539732355821	0.72276776320404	0.623111988025582	0.718729127177543	0.688617057424397	0.151996203539281
ZB_15	0.16554405731431	0.71095211887727	0.709961474958723	0.629133215403456	0.774578688099559	0.727093228441943	0.690408576195378	0.709961474958723	0.690408576195378	0.609121221899537	0.833899403681618	0.833899403681618	0.0727888054990531	0	0.68000366905155	0.0739041794087666	0.782024008509345	0.0739041794087666	0.709961474958723	0.734307169730849	0.907958890673641	0.833899403681618	0.907958890673641	0.763421118340849	0.781102921034938	0.694132706740548	0.805988464842312	0.800486248290533	0.609121221899537	0.709961474958723	0.795047964739435	0.709961474958723	0.804401315624294	0.731396534148828	0.71095211887727	0.71095211887727	0.0441537490355615	0.72678333450235	0.609121221899537	0.762276412652265	0.72276776320404	0.833899403681618	0.797450817400942	0.779124246568404	0.709961474958723	0.818649727585428	0.68000366905155	0.629133215403456	0.714162538983673	0.703652735304111	0.16554405731431
ZB_16	0.732977160002449	0.0967150146190449	0.0936192168778306	0.881323989658457	0.566066927856662	0.857958079783637	0.0950453955901427	0.0936192168778306	0.0950453955901427	0.874920225162239	0.68025852818606	0.68025852818606	0.72276776320404	0.68000366905155	0	0.703652735304111	0.589213697649445	0.703652735304111	0.0936192168778306	0.389763504058214	0.805450393606154	0.68025852818606	0.805450393606154	0.891405656395103	0.889372480967309	0.126145984670107	0.644103279832519	0.624006681780217	0.874920225162239	0.0936192168778306	0.605470017218576	0.0936192168778306	0.634171538587965	0.274537695590327	0.0967150146190449	0.0967150146190449	0.694132706740548	0.21942788437453	0.874920225162239	0.898760423709714	0.207955513250839	0.68025852818606	0.90917918911256	0.583748955971841	0.0936192168778306	0.660820361109154	0	0.881323989658457	0.106747692484091	0.199605377873629	0.732977160002449
ZB_17	0.0989529116404384	0.732313965341488	0.731396534148828	0.599537352020683	0.786611854215241	0.736019730658466	0.672528032619776	0.731396534148828	0.672528032619776	0.577928363988383	0.842765983556265	0.842765983556265	0.058868501529052	0.0739041794087666	0.703652735304111	0	0.766278070928948	0	0.731396534148828	0.668047706813301	0.913318786061393	0.842765983556265	0.913318786061393	0.770744968544507	0.773252179029826	0.660873258579681	0.752607681924162	0.78416983678979	0.577928363988383	0.731396534148828	0.805988464842312	0.731396534148828	0.777899128727451	0.657492354740061	0.732313965341488	0.732313965341488	0.0311247026843357	0.692507645259939	0.577928363988383	0.770052108789317	0.688617057424397	0.842765983556265	0.802851433685165	0.763467910173027	0.731396534148828	0.791827218063566	0.703652735304111	0.599537352020683	0.73528712198437	0.629748555895345	0.0989529116404384
ZB_19	0.78345498783455	0.629471423457821	0.628182794415941	0.887707092742173	0.0504713041403174	0.88531395185653	0.545495764228612	0.628182794415941	0.545495764228612	0.882493753277601	0.149558498896247	0.149558498896247	0.808798625598233	0.782024008509345	0.589213697649445	0.766278070928948	0	0.766278070928948	0.628182794415941	0.418386871665579	0.464583933198963	0.149558498896247	0.464583933198963	0.909849106060287	0.719806594267801	0.61249803029962	0.0985975733291313	0.0457224674859802	0.882493753277601	0.628182794415941	0.0881517718649326	0.628182794415941	0.135380368375798	0.608018368862976	0.629471423457821	0.629471423457821	0.788759356976316	0.64744082907182	0.882493753277601	0.916912058479705	0.649258267113882	0.149558498896247	0.751596195762635	0.0054647416776041	0.628182794415941	0.161062587681586	0.589213697649445	0.887707092742173	0.626139744697188	0.571258132048713	0.78345498783455
ZB_20	0.0989529116404384	0.732313965341488	0.731396534148828	0.599537352020683	0.786611854215241	0.736019730658466	0.672528032619776	0.731396534148828	0.672528032619776	0.577928363988383	0.842765983556265	0.842765983556265	0.058868501529052	0.0739041794087666	0.703652735304111	0	0.766278070928948	0	0.731396534148828	0.668047706813301	0.913318786061393	0.842765983556265	0.913318786061393	0.770744968544507	0.773252179029826	0.660873258579681	0.752607681924162	0.78416983678979	0.577928363988383	0.731396534148828	0.805988464842312	0.731396534148828	0.777899128727451	0.657492354740061	0.732313965341488	0.732313965341488	0.0311247026843357	0.692507645259939	0.577928363988383	0.770052108789317	0.688617057424397	0.842765983556265	0.802851433685165	0.763467910173027	0.731396534148828	0.791827218063566	0.703652735304111	0.599537352020683	0.73528712198437	0.629748555895345	0.0989529116404384
ZB_21	0.757975629171514	0.00341555977229601	0	0.892434344808818	0.606817557956729	0.855835742780807	0.179766536964981	0	0.179766536964981	0.886630095729805	0.666675338189386	0.666675338189386	0.714595180070403	0.709961474958723	0.0936192168778306	0.731396534148828	0.628182794415941	0.731396534148828	0	0.446893366918556	0.795412177319979	0.666675338189386	0.795412177319979	0.905192064162094	0.888093771898159	0.207955513250839	0.630521149801355	0.608760429082241	0.886630095729805	0	0.588709677419355	0	0.619585917281117	0.21577380952381	0.00341555977229601	0.00341555977229601	0.72276776320404	0.149879965080751	0.886630095729805	0.897247739999268	0.137385421213444	0.666675338189386	0.908115628159803	0.622718052738337	0	0.699161794745369	0.0936192168778306	0.892434344808818	0.0144845034788109	0.274537695590327	0.757975629171514
ZB_23	0.697802121611315	0.448782535684299	0.446893366918556	0.858276267956897	0.455687369155618	0.870922287942589	0.325671704450042	0.446893366918556	0.325671704450042	0.850983958535618	0.55869707133692	0.55869707133692	0.720826796240727	0.734307169730849	0.389763504058214	0.668047706813301	0.418386871665579	0.668047706813301	0.446893366918556	0	0.854242171847917	0.55869707133692	0.854242171847917	0.900741563843168	0.831994774118132	0.30167226420375	0.393309771964973	0.451207707718974	0.850983958535618	0.446893366918556	0.491232019449384	0.446893366918556	0.439704657497242	0.294710327455919	0.448782535684299	0.448782535684299	0.695952841540875	0.366813602015113	0.850983958535618	0.908000589844838	0.358802127064092	0.55869707133692	0.865199752458227	0.413231884384215	0.446893366918556	0.465254485289152	0.389763504058214	0.858276267956897	0.454904841869577	0.237580464595578	0.697802121611315
