FS0916	CS0908	QQ0718	CS0617	JZ0520	JZ0701	FS0610	FS0702	QH0615	BJ0815	BJ0613	FS0617	FS0716	WZ0519	WZ0728	QH0720	BJ0718	QQ0627	QH0714	CS0715	WZ0630	FS0729	QH0518	QH0601	QQ0829	JZ0729	CS0701	BJ0606	WZ0811	WZ0825	FS0819	QQ0801	WZ0602	BJ0704	WZ0616	QH0525	FS0527	JZ0715	JZ0916	JZ0617	QH0803	JZ0603	CS0825	QH0817	CS0520	BJ0530	CS0527	BJ0516	QQ0615	WZ0714	QQ0913	QQ0815	BJ0919	QQ0926	JZ0527	WZ0505	JZ0819	QQ0710	BJ0801	FS0520	WZ0915	CS0603	QH0629	CS0917
BJ0613	0.561564901170816	0.514683589519883	0.515264623115712	0.512066439317392	0.71593184599393	0.615489322893193	0.555780046037445	0.611392713595108	0.654624588351907	0.410131625768094	0	0.597323356684479	0.60355717757554	0.750045401656783	0.637117507637711	0.628845997890226	0.335921213790738	0.517190031056173	0.628121783435647	0.50291672964144	0.698663830542441	0.584689570271894	0.618881632336304	0.609649454015446	0.503302276135407	0.601354109961894	0.540756640761204	0.302151456911618	0.650661127588045	0.661029780585366	0.596331696276617	0.549047668730771	0.699831615867004	0.423437206891837	0.665873891384953	0.652830666665955	0.654124898736334	0.588557264887877	0.575006450970826	0.656161095002494	0.607313134871705	0.577801315336561	0.548675398476415	0.716876339974698	0.595484146146252	0.343819736584871	0.526069913162363	0.337986346211096	0.570509857529684	0.62934809014763	0.511413733997566	0.506430496143881	0.35915050464203	0.493473452188351	0.57614354105045	0.777829145045401	0.585458129409173	0.582162155704525	0.318889248461301	0.565085140737008	0.722104237360521	0.531491105404971	0.606295505416528	0.504557171516381
FS0617	0.427630616467954	0.529083169419462	0.505200799915668	0.533099419133203	0.719934684342598	0.652612146203602	0.325656044526873	0.297894997888559	0.577270119945691	0.592829189536005	0.597323356684479	0	0.278237746742017	0.790520388283525	0.626273301783344	0.562344541510857	0.628882802282802	0.467149330954663	0.527990048482915	0.499076972659397	0.70143558921815	0.352831061074829	0.538078559853805	0.486801181952756	0.496231010903557	0.59724342053378	0.502291621588688	0.581145991407386	0.614828030826075	0.599299016861172	0.372534730011989	0.49289310196174	0.74414075693705	0.620154460618302	0.712678302186595	0.544281942920368	0.689884299817759	0.623315442965755	0.558456603627839	0.672782001194551	0.506490263071481	0.341484995346213	0.549257459378353	0.590993791040037	0.576742039664089	0.606954255360292	0.506398852419203	0.596483196684404	0.487455883080805	0.604313215731406	0.500423162244627	0.484706484006677	0.61359572341751	0.484884896590553	0.332483828281846	0.803072521322355	0.581175193680905	0.475336319573252	0.618290513530238	0.355319103456198	0.72475013332522	0.49543770785308	0.509243205565336	0.522346437947325
FS0716	0.419390043965194	0.504326850759891	0.506646304964728	0.533786240369214	0.736472220989582	0.648345000162761	0.343829791235566	0.283227630087856	0.609764603571443	0.588591375512591	0.60355717757554	0.278237746742017	0	0.794905305313222	0.604012691615172	0.602021526382027	0.610497648977215	0.459243553534444	0.577818676885841	0.49265589114938	0.704896141220293	0.313459812645989	0.592391693199299	0.537810740051688	0.484869398832559	0.608795428360754	0.494973998207245	0.593908668925153	0.604819671263208	0.581770344243905	0.342852139944093	0.488795330693031	0.750919133146655	0.623603111238663	0.712191747747042	0.587678958706694	0.697532070525983	0.620964151508182	0.546292062503245	0.678160719765677	0.538603516455183	0.372383469397098	0.49723102374283	0.618319827595911	0.558617489416372	0.611593512979077	0.496528728422579	0.611992024386874	0.449846477496183	0.594325457414337	0.459574571084435	0.486291879822548	0.61601890845183	0.460608705260052	0.377524610661025	0.810264023121308	0.577159841874991	0.460551283604962	0.611813069072784	0.358310312962474	0.734769121002486	0.489560725376891	0.551696150703489	0.496207681952472
WZ0519	0.789778154052876	0.786100260618846	0.776040363038984	0.768100587102771	0.510351757413557	0.579031518439498	0.786805237864183	0.785885829607914	0.77014216394681	0.774115171946974	0.750045401656783	0.790520388283525	0.794905305313222	0	0.667588528399463	0.762040678912862	0.755827257706884	0.759112630171268	0.795295708176728	0.755938327136428	0.458539435591249	0.799077128289289	0.780005159149745	0.796752474128457	0.76424721653373	0.63244505059445	0.767819225187232	0.746298844773189	0.690041061077442	0.743483777195871	0.798084659926454	0.768364826641354	0.377655103882415	0.772536855957586	0.467428503888415	0.802817585798976	0.532016955187466	0.613891196747009	0.678740768360661	0.597030883947135	0.788247547187358	0.796104137299606	0.783852588413659	0.816835227467439	0.790371800148562	0.753652858775488	0.769084418589443	0.764348860185151	0.798261254999144	0.672501167517251	0.754474060342555	0.759025548255962	0.786202721557113	0.753474071236246	0.792123055915822	0.309245478379739	0.698503818416148	0.778140413256155	0.765809780493815	0.777076770733273	0.435581013459903	0.761728048785602	0.795437056608208	0.784280502652585
WZ0728	0.569831852263285	0.603200205575352	0.591389553935767	0.617589366558596	0.6133558701424	0.570442253995481	0.579543723721448	0.588477593072202	0.656035125048454	0.651345572122963	0.637117507637711	0.626273301783344	0.604012691615172	0.667588528399463	0	0.659450723007222	0.656240278046533	0.589033421081472	0.675371983971474	0.604458680089264	0.534286525615798	0.618716916238776	0.654411337790106	0.654708762907764	0.592514299039804	0.555300618674147	0.614493849059165	0.631145828131936	0.372604540535625	0.426537575100199	0.602623543356408	0.609532600402015	0.595555900416814	0.671549770913968	0.536013926421873	0.67217097918405	0.593713765226623	0.541389312917495	0.530696103404867	0.566677957826252	0.632189787362201	0.606149486404788	0.623016199418022	0.692402601704431	0.622879609783948	0.640620803578	0.605673156525381	0.650078105289151	0.609020290045696	0.376653925199234	0.596463419026973	0.580123151067249	0.661618044362867	0.586694863280081	0.598514179189832	0.682380752085439	0.543030191161126	0.609850429488969	0.642128692397377	0.583896969245475	0.523738052977955	0.601267971380644	0.636982677678332	0.61657937416452
QH0720	0.553986856924045	0.602130219006791	0.572818238757901	0.57982226817392	0.698608148237574	0.662391640050425	0.590632757157397	0.58176266451613	0.39244079641395	0.614914476223592	0.628845997890226	0.562344541510857	0.602021526382027	0.762040678912862	0.659450723007222	0	0.633938110807685	0.568113394824722	0.417999128634143	0.547550144553809	0.697722592427098	0.541231282488228	0.363975075204962	0.419618432777926	0.55041436804733	0.611347499829551	0.571436010936076	0.591050637927564	0.64457809999465	0.664880843040788	0.545045907896158	0.547795270745692	0.726538162418322	0.639551053214988	0.696288387107657	0.446957458482801	0.684964945013116	0.62733842160702	0.595145627688925	0.664249706860249	0.399672497464473	0.58673339503814	0.625293303071613	0.53805840231349	0.62593207915765	0.613334808096449	0.571167806421558	0.610698571823034	0.637182899750778	0.6608529843203	0.585063527408872	0.547126894507055	0.62756365606705	0.57847513908579	0.601165348619007	0.770850804984817	0.620139510577053	0.601277012710259	0.623945525350487	0.575257564975736	0.710917198348992	0.558574750897924	0.383072498516922	0.603879586317932
BJ0718	0.621055520343723	0.508780738184679	0.533718712167392	0.505125342972258	0.716370750223552	0.623968200599325	0.610570048558834	0.62852561396578	0.646527943368528	0.373206225164764	0.335921213790738	0.628882802282802	0.610497648977215	0.755827257706884	0.656240278046533	0.633938110807685	0	0.550718274978394	0.630982291584805	0.501675919104615	0.713325578407375	0.619542783698052	0.623997441093823	0.616794000049908	0.560694906516232	0.578958284072108	0.535816126912948	0.329296097864208	0.665854534441584	0.680938699739094	0.607081297951388	0.583604642304858	0.725547886450319	0.33422504991293	0.695426510151296	0.654192799385272	0.673252099589049	0.609858926626394	0.566343926647864	0.655869500500151	0.615865733313262	0.632281757132151	0.546149287138474	0.694364311629242	0.56505985399045	0.333597607730277	0.509527659183022	0.389544246943561	0.586891230406557	0.653001901330244	0.552526240573859	0.5417304488433	0.39394076436764	0.535709392215921	0.626231400705956	0.781025071008336	0.593862513026889	0.571165765708575	0.33396353990988	0.623845824856341	0.740410909355831	0.518733620254121	0.607237648686562	0.515823641131857
QQ0627	0.502530357059248	0.507795458177932	0.326005051493634	0.484909136264313	0.691714339276318	0.607090353542442	0.458473442626806	0.470648444466949	0.594571850341933	0.554119496620406	0.517190031056173	0.467149330954663	0.459243553534444	0.759112630171268	0.589033421081472	0.568113394824722	0.550718274978394	0	0.584054974062998	0.444229688566665	0.677629516004644	0.494346121520876	0.561929053711528	0.547294817114752	0.270056731681164	0.553287838968234	0.47589785937575	0.494803344674227	0.581449076265342	0.588515969275619	0.506458402469723	0.312426114199578	0.698314429388097	0.585938301436719	0.664092546101397	0.602923998429545	0.625059617339272	0.543416123359864	0.496812783450054	0.617262019388054	0.528136460688872	0.492071347548436	0.525780017445237	0.646882690170515	0.549875463588151	0.556477637374693	0.464024302476628	0.544595600978919	0.378627155013063	0.574437608276008	0.291377243806438	0.317733587776373	0.553967690360588	0.283757684919598	0.456474596171444	0.77651249162083	0.561874715225441	0.322978268304344	0.541998017623394	0.460089782299125	0.689732456140934	0.45069416727628	0.537561861488149	0.473574745005836
QH0714	0.541494743113151	0.587955747843864	0.569238374188823	0.5664584059467	0.728720809882838	0.675447624440867	0.592149856231766	0.542656393177382	0.396822972802986	0.621317296690004	0.628121783435647	0.527990048482915	0.577818676885841	0.795295708176728	0.675371983971474	0.417999128634143	0.630982291584805	0.584054974062998	0	0.527023434306028	0.729170319644381	0.517001736661928	0.290613892464014	0.390460088586419	0.563603149917302	0.616279175470556	0.557281310246117	0.609074878180615	0.657278278050334	0.672473023777763	0.523417066477147	0.563332888093815	0.755501370540859	0.634532166237393	0.731391735549681	0.28971017117923	0.716499033534631	0.645913818919422	0.602522699220533	0.690988836438894	0.444924209817254	0.578564862820174	0.596640340590141	0.449753357464386	0.606373766066672	0.622685755587147	0.54473653229177	0.60284631159299	0.613175109108713	0.681344194936086	0.599039324446229	0.558578832906813	0.62674022109767	0.586412240336889	0.611613454564778	0.801639112671573	0.599366016412365	0.579729817519877	0.634185609571059	0.582585358246323	0.738922843821422	0.550527213396104	0.395888754588734	0.58030191614631
CS0715	0.539067109430164	0.39225894787814	0.457386886819754	0.302197658839122	0.678657188574545	0.588721182229414	0.498013923047183	0.495679716417466	0.542511248053819	0.494453388221817	0.50291672964144	0.499076972659397	0.49265589114938	0.755938327136428	0.604458680089264	0.547550144553809	0.501675919104615	0.444229688566665	0.527023434306028	0	0.669744020320507	0.519769946989897	0.537284165344751	0.532939714042614	0.438095321875171	0.533726754531011	0.26476537268032	0.472560412908126	0.602376015694703	0.597002233279725	0.51880490538787	0.469783077014526	0.69682851845014	0.536798248347082	0.664998830741349	0.575164401803136	0.635623494804124	0.559684034938883	0.482412731351953	0.602368979205231	0.488110807121267	0.515421896141828	0.376920065270789	0.57676760706861	0.411534564972492	0.52088400364335	0.27658019883209	0.50430629132758	0.479029207388872	0.594759668651417	0.444867871148501	0.451474107621814	0.538005244579122	0.446605445774364	0.519516222103297	0.766642359358383	0.511623075503559	0.497560771635639	0.505063521902854	0.500712696711696	0.697929726903585	0.264357922814079	0.487071691685904	0.318407539923467
