ZB_1	ZB_2	ZB_3	ZB_4	ZB_6	ZB_7	ZB_8	ZB_10	ZB_11	ZB_12	ZB_13	ZB_15	ZB_17	ZB_19	ZB_20	ZB_21	ZB_22	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_30	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_41	ZB_42	ZB_43	ZB_44	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_59
ZB_13	0.52040784988176	0.7799095263438	0.861859221284199	0.729595314636517	0.246023636175635	0.861859221284199	0.863097518967736	0.699674493084491	0.699674493084491	0.329298445875904	0	0.821338248877667	0.538335450268579	0.232071836552638	0.744426652038351	0.714163416356991	0.889273124716911	0.841933519145212	0.232815472786059	0.246023636175635	0.264948108470037	0.714163416356991	0.246023636175635	0.341182660316649	0.395749516292497	0.246023636175635	0.895188386623158	0.774516882393988	0.821338248877667	0.24906227027978	0.710840761616414	0.407351535368121	0.699674493084491	0.960717325277003	0.699674493084491	0.699674493084491	0.312284676562299	0.861859221284199	0.699674493084491	0.750146215931688	0.861859221284199	0.618438938210156	0.338273078924335	0.262747173208279	0.590316262713939	0.314441423523043	0.352863894312355
ZB_15	0.89414677470375	0.597587942101048	0.760424229033174	0.842126610714174	0.86529326253429	0.760424229033174	0.865386567662031	0.915208871918077	0.915208871918077	0.733619595744553	0.821338248877667	0	0.730005181189235	0.862800609582337	0.300937470408131	0.923940476580681	0.759813926994826	0.777751749582736	0.785271404263158	0.86529326253429	0.770020768431983	0.923940476580681	0.86529326253429	0.851126616654567	0.73939647107968	0.86529326253429	0.72449590736674	0.821445374988237	0	0.856858011704978	0.932712800661128	0.698536718165113	0.915208871918077	1	0.915208871918077	0.915208871918077	0.761373982469656	0.760424229033174	0.915208871918077	0.483354271356784	0.760424229033174	0.856770104535353	0.730006826937143	0.863002174323192	0.764132635546495	0.855400054191518	0.849179568724527
ZB_17	0.87179084263063	0.554807838834537	0.79124074243394	0.743152696499663	0.501076583398719	0.79124074243394	0.923162268583984	0.937036508841985	0.937036508841985	0.72612565364266	0.538335450268579	0.730005181189235	0	0.491844358265912	0.613775867849197	0.940375858299817	0.834657617230002	0.761128889701624	0.571881411096886	0.501076583398719	0.592543921958611	0.940375858299817	0.501076583398719	0.492937834661094	0.729964030691782	0.501076583398719	0.841607997317973	0.783847442539381	0.730005181189235	0.506811645390787	0.810124607815174	0.671713828083289	0.937036508841985	0.940635762396757	0.937036508841985	0.937036508841985	0.696581132863171	0.79124074243394	0.937036508841985	0.676363615066094	0.79124074243394	0.847279663434113	0.689835685906523	0.517800120431363	0.750100231693473	0.529785551530458	0.460848893237704
ZB_19	0.574113193988428	0.773773091647979	0.893917805503587	0.792348626581259	0.0181681051523943	0.893917805503587	0.894868729169506	0.769371585037975	0.769371585037975	0.484949387320192	0.232071836552638	0.862800609582337	0.491844358265912	0	0.803738028273717	0.73044566415978	0.914502855683083	0.878616297654595	0.361056733282948	0.0181681051523943	0.432433747544234	0.73044566415978	0.0181681051523943	0.113327129293409	0.473532108386713	0.0181681051523943	0.919512210231567	0.82684516360843	0.862800609582337	0.0770973608500751	0.681164896978107	0.544888552985343	0.769371585037975	0.969833727744669	0.769371585037975	0.769371585037975	0.42504429383851	0.893917805503587	0.769371585037975	0.808130242470047	0.893917805503587	0.7069885145767	0.491841260794687	0.0348916421850385	0.590793076532319	0.0865858924998023	0.125008363289114
ZB_20	0.905148918541776	0.672280032317412	0.459486758625043	0.843542422334359	0.807303736413457	0.459486758625043	0.894547891980323	0.927787329718291	0.927787329718291	0.720537763811816	0.744426652038351	0.300937470408131	0.613775867849197	0.803738028273717	0	0.934218732282572	0.778941696843635	0.498579836608006	0.771466452829845	0.807303736413457	0.75627663347959	0.934218732282572	0.807303736413457	0.787038530827351	0.726161489326855	0.807303736413457	0.691883107376065	0.597158181989273	0.300937470408131	0.795237218080345	0.940884252359662	0.568760634315661	0.927787329718291	1	0.927787329718291	0.927787329718291	0.726592507352001	0.459486758625043	0.927787329718291	0.211140931932389	0.459486758625043	0.876200572005862	0.741196267062249	0.804026364055314	0.791928555977875	0.830949482172504	0.784253303687259
ZB_21	0.367075166369686	0.903187786092153	0.917117599785695	0.870770786912161	0.735342955677609	0.917117599785695	0.82937852013858	0.144408439051296	0.144408439051296	0.583685587761675	0.714163416356991	0.923940476580681	0.940375858299817	0.73044566415978	0.934218732282572	0	0.916998274150712	0.920619173864705	0.659774453268508	0.735342955677609	0.637090760209975	0	0.735342955677609	0.707509881422925	0.487994728388452	0.735342955677609	0.910515102143126	0.859284089548665	0.923940476580681	0.718770298699914	0.355356230681985	0.533176172592588	0.144408439051296	1	0.144408439051296	0.144408439051296	0.624311260015743	0.917117599785695	0.144408439051296	0.933550964305657	0.917117599785695	0.305205106192378	0.578441086381728	0.73084167648669	0.34127620921959	0.715905863456962	0.703684534895995
ZB_22	0.902942417616143	0.83489770836279	0.651983508571203	0.614958979907688	0.896334750530689	0.651983508571203	0.841997753038505	0.906489895428261	0.906489895428261	0.903451068813415	0.889273124716911	0.759813926994826	0.834657617230002	0.914502855683083	0.778941696843635	0.916998274150712	0	0.68288605683677	0.920789856504014	0.896334750530689	0.823016614745587	0.916998274150712	0.896334750530689	0.885432631550644	0.905360169946141	0.896334750530689	0.58420928588263	0.756147456010616	0.759813926994826	0.889843298076208	0.927336208988641	0.892015302218822	0.906489895428261	1	0.906489895428261	0.906489895428261	0.912691892747914	0.651983508571203	0.906489895428261	0.774942912908699	0.651983508571203	0.866260219904144	0.834658589660648	0.894571615030357	0.899481515326089	0.888721308692515	0.883934256538424
ZB_24	0.906007937933042	0.843576109805861	0.126058997652343	0.800846644465767	0.880821609522593	0.126058997652343	0.854621203815371	0.911060433295325	0.911060433295325	0.85522386396559	0.841933519145212	0.777751749582736	0.761128889701624	0.878616297654595	0.498579836608006	0.920619173864705	0.68288605683677	0	0.881607603356995	0.880821609522593	0.873738478059115	0.920619173864705	0.880821609522593	0.86828802667312	0.858137249549599	0.880821609522593	0.336914361539247	0.437099372144242	0.777751749582736	0.873358733975136	0.930126467931346	0.733287960253182	0.911060433295325	1	0.911060433295325	0.911060433295325	0.878562342553563	0.126058997652343	0.911060433295325	0.487949285329825	0.126058997652343	0.872012141140761	0.90494714496611	0.878794626978309	0.902765856595652	0.907395050992173	0.866565425095425
ZB_25	0.575821098332947	0.738517193724088	0.904115143838675	0.764820723253102	0.372665121739078	0.904115143838675	0.83546071097882	0.639047115799475	0.639047115799475	0.193902433112435	0.232815472786059	0.785271404263158	0.571881411096886	0.361056733282948	0.771466452829845	0.659774453268508	0.920789856504014	0.881607603356995	0	0.372665121739078	0.209088378441479	0.659774453268508	0.372665121739078	0.355077053676375	0.2807727808596	0.372665121739078	0.874029833381003	0.805455572666551	0.785271404263158	0.379879493091901	0.603487521339728	0.390715411742193	0.639047115799475	0.952787244460173	0.639047115799475	0.639047115799475	0.206719197576623	0.904115143838675	0.639047115799475	0.777927119308189	0.904115143838675	0.541412358989524	0.32638129411871	0.389388658771722	0.453757436736335	0.39267012423412	0.367617866004963
ZB_26	0.581850750263063	0.777883205907219	0.895845117967994	0.79612125856857	0	0.895845117967994	0.896778765152759	0.773561666332135	0.773561666332135	0.494306881010164	0.246023636175635	0.86529326253429	0.501076583398719	0.0181681051523943	0.807303736413457	0.735342955677609	0.896334750530689	0.880821609522593	0.372665121739078	0	0.41426564239184	0.735342955677609	0	0.0951590241410142	0.483097032400903	0	0.920974520859564	0.829991058883638	0.86529326253429	0.0589292556976808	0.686957526656083	0.553157065610763	0.773561666332135	0.97038179175106	0.773561666332135	0.773561666332135	0.435490149566021	0.895845117967994	0.773561666332135	0.811616152400416	0.895845117967994	0.712311978054729	0.501073542202678	0.0167235370326442	0.598227590946968	0.068417787347408	0.10684025813672
