ZB_1	ZB_2	ZB_4	ZB_5	ZB_9	ZB_11	ZB_14	ZB_16	ZB_17	ZB_18	ZB_20	ZB_21	ZB_22	ZB_28	ZB_29	ZB_35	ZB_36	ZB_37	ZB_39	ZB_40	ZB_42	ZB_45	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_53	ZB_55	ZB_56	ZB_58	ZB_59	ZB_60	ZB_61
ZB_42	0.619328833895763	0.750304278625597	0.727363336655677	0.67382245232984	0.380671166104237	0.750304278625597	0.430888792943934	0	0.841694928468405	0.681366804416209	0.655337296459033	0.681366804416209	0.64940302467498	0.380671166104237	0.619328833895763	0.750304278625597	0.681366804416209	0.43390819846113	0.619328833895763	0.380671166104237	0	0.681366804416209	0.510374104537012	0.430888792943934	0.430888792943934	0.750304278625597	0.725868930750862	0.619328833895763	0.619328833895763	0.326430104811214	0.380671166104237	1	0.380671166104237	0.66460213160625
ZB_45	1	0.749297818556315	0.726264407472718	0.422618601513902	0.574884792626728	0.749297818556315	0.274911995667479	0.681366804416209	1	0	0.858454119516672	0	0.275500541125541	0.574884792626728	1	0.749297818556315	0	0.431626426107721	1	0.574884792626728	0.681366804416209	0	0.38456676626063	0.274911995667479	0.274911995667479	0.749297818556315	0.197256988683205	1	1	0.591191297426373	0.574884792626728	1	0.574884792626728	0.663250227937247
ZB_47	0.766662836129625	0.592641138470181	0.555214802320529	0.406113537117904	0.725868930750862	0.592641138470181	0.151229602390255	0.510374104537012	0.874617925839019	0.38456676626063	0.764190242531115	0.38456676626063	0.291960732289732	0.725868930750862	0.766662836129625	0.592641138470181	0.38456676626063	0.0764659060758822	0.766662836129625	0.725868930750862	0.510374104537012	0.38456676626063	0	0.151229602390255	0.151229602390255	0.592641138470181	0.233337163870375	0.766662836129625	0.766662836129625	0.236030777394534	0.725868930750862	1	0.725868930750862	0.452824849875813
ZB_48	0.725088004332521	0.654245857129482	0.622479490914667	0.557343139508159	0.681366804416209	0.654245857129482	0	0.430888792943934	0.863527909399469	0.274911995667479	0.747184700112338	0.274911995667479	0.431626426107721	0.681366804416209	0.725088004332521	0.654245857129482	0.274911995667479	0.216131599893871	0.725088004332521	0.681366804416209	0.430888792943934	0.274911995667479	0.151229602390255	0	0	0.654245857129482	0.38456676626063	0.725088004332521	0.725088004332521	0.375696471212523	0.681366804416209	1	0.681366804416209	0.535573930266922
ZB_49	0.725088004332521	0.654245857129482	0.622479490914667	0.557343139508159	0.681366804416209	0.654245857129482	0	0.430888792943934	0.863527909399469	0.274911995667479	0.747184700112338	0.274911995667479	0.431626426107721	0.681366804416209	0.725088004332521	0.654245857129482	0.274911995667479	0.216131599893871	0.725088004332521	0.681366804416209	0.430888792943934	0.274911995667479	0.151229602390255	0	0	0.654245857129482	0.38456676626063	0.725088004332521	0.725088004332521	0.375696471212523	0.681366804416209	1	0.681366804416209	0.535573930266922
ZB_50	0.904948038573167	0	0.0841447430015916	0.758075086602378	0.845356240052429	0	0.654245857129482	0.750304278625597	0.554208407452486	0.749297818556315	0.275535998502013	0.749297818556315	0.653964984552008	0.845356240052429	0.904948038573167	0	0.749297818556315	0.558913023125176	0.904948038573167	0.845356240052429	0.750304278625597	0.749297818556315	0.592641138470181	0.654245857129482	0.654245857129482	0	0.687693099897013	0.904948038573167	0.904948038573167	0.62929500983054	0.845356240052429	0.732983803014699	0.845356240052429	0.255523827356989
ZB_51	1	0.687693099897013	0.658999718878581	0.225361612830698	0.650568181818182	0.687693099897013	0.38456676626063	0.725868930750862	1	0.197256988683205	0.867975159089167	0.197256988683205	0.0974702380952381	0.650568181818182	1	0.687693099897013	0.197256988683205	0.291960732289732	1	0.650568181818182	0.725868930750862	0.197256988683205	0.233337163870375	0.38456676626063	0.38456676626063	0.687693099897013	0	1	1	0.451525603608384	0.650568181818182	1	0.650568181818182	0.580501147546138
ZB_53	0	0.904948038573167	0.896215083441948	1	1	0.904948038573167	0.725088004332521	0.619328833895763	0.786779376246981	1	0.868796846730421	1	1	1	0	0.904948038573167	1	0.78450517378615	0	1	0.619328833895763	1	0.766662836129625	0.725088004332521	0.725088004332521	0.904948038573167	1	0	0	0.743591362545776	1	1	1	0.872323702329676
ZB_55	0	0.904948038573167	0.896215083441948	1	1	0.904948038573167	0.725088004332521	0.619328833895763	0.786779376246981	1	0.868796846730421	1	1	1	0	0.904948038573167	1	0.78450517378615	0	1	0.619328833895763	1	0.766662836129625	0.725088004332521	0.725088004332521	0.904948038573167	1	0	0	0.743591362545776	1	1	1	0.872323702329676
ZB_56	0.743591362545776	0.62929500983054	0.595236269774336	0.347392347518626	0.582838742265438	0.62929500983054	0.375696471212523	0.326430104811214	0.868247737079454	0.591191297426373	0.704667515641437	0.591191297426373	0.375059697532502	0.582838742265438	0.743591362545776	0.62929500983054	0.591191297426373	0.159564871318652	0.743591362545776	0.582838742265438	0.326430104811214	0.591191297426373	0.236030777394534	0.375696471212523	0.375696471212523	0.62929500983054	0.451525603608384	0.743591362545776	0.743591362545776	0	0.582838742265438	1	0.582838742265438	0.502059295123715
