ZB_2	ZB_5	ZB_6	ZB_8	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_17	ZB_19	ZB_20	ZB_22	ZB_25	ZB_26	ZB_27	ZB_29	ZB_30	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_38	ZB_41	ZB_42	ZB_45	ZB_48	ZB_50	ZB_54	ZB_55	ZB_57	ZB_58	ZB_59	ZB_61	ZB_64
ZB_17	0.960515700869142	0.021900309671272	0.151156846919559	0.0394842991308583	0.0394842991308583	0.961380419247261	0.151156846919559	0.151156846919559	0.961380419247261	0.961380419247261	0	0.151156846919559	0.960515700869142	0.151156846919559	0.151156846919559	0.151156846919559	0.151156846919559	1	0.151156846919559	0.151156846919559	0.151156846919559	0.167627389165161	0.021900309671272	0.0394842991308583	0.151156846919559	0.151156846919559	0.0394842991308583	0.961380419247261	0.151156846919559	0.301565735843083	0.151156846919559	0.151156846919559	0.151156846919559	0.960515700869142	0.151156846919559	0.960515700869142	0.960515700869142
ZB_19	1	0.167627389165161	0	0.12046664622418	0.12046664622418	1	0	0	1	1	0.151156846919559	0	1	0	0	0	0	1	0	0	0	0.0200909624813909	0.167627389165161	0.12046664622418	0	0	0.12046664622418	1	0	0.22177520412605	0	0	0	1	0	1	1
ZB_20	0	0.961380419247261	1	1	1	0.361869618696187	1	1	0.361869618696187	0.361869618696187	0.960515700869142	1	0	1	1	1	1	1	1	1	1	1	0.961380419247261	1	1	1	1	0.361869618696187	1	0.958866530295102	1	1	1	0	1	0	0
ZB_22	1	0.167627389165161	0	0.12046664622418	0.12046664622418	1	0	0	1	1	0.151156846919559	0	1	0	0	0	0	1	0	0	0	0.0200909624813909	0.167627389165161	0.12046664622418	0	0	0.12046664622418	1	0	0.22177520412605	0	0	0	1	0	1	1
ZB_25	1	0.167627389165161	0	0.12046664622418	0.12046664622418	1	0	0	1	1	0.151156846919559	0	1	0	0	0	0	1	0	0	0	0.0200909624813909	0.167627389165161	0.12046664622418	0	0	0.12046664622418	1	0	0.22177520412605	0	0	0	1	0	1	1
ZB_26	1	0.167627389165161	0	0.12046664622418	0.12046664622418	1	0	0	1	1	0.151156846919559	0	1	0	0	0	0	1	0	0	0	0.0200909624813909	0.167627389165161	0.12046664622418	0	0	0.12046664622418	1	0	0.22177520412605	0	0	0	1	0	1	1
ZB_27	1	0.167627389165161	0	0.12046664622418	0.12046664622418	1	0	0	1	1	0.151156846919559	0	1	0	0	0	0	1	0	0	0	0.0200909624813909	0.167627389165161	0.12046664622418	0	0	0.12046664622418	1	0	0.22177520412605	0	0	0	1	0	1	1
ZB_29	1	0.978099690328728	1	1	1	0.638130381303813	1	1	0.638130381303813	0.638130381303813	1	1	1	1	1	1	1	0	1	1	1	0.979909037518609	0.978099690328728	1	1	1	1	0.638130381303813	1	0.976674119531262	1	1	1	1	1	1	1
ZB_30	1	0.167627389165161	0	0.12046664622418	0.12046664622418	1	0	0	1	1	0.151156846919559	0	1	0	0	0	0	1	0	0	0	0.0200909624813909	0.167627389165161	0.12046664622418	0	0	0.12046664622418	1	0	0.22177520412605	0	0	0	1	0	1	1
ZB_32	1	0.167627389165161	0	0.12046664622418	0.12046664622418	1	0	0	1	1	0.151156846919559	0	1	0	0	0	0	1	0	0	0	0.0200909624813909	0.167627389165161	0.12046664622418	0	0	0.12046664622418	1	0	0.22177520412605	0	0	0	1	0	1	1
ZB_33	1	0.167627389165161	0	0.12046664622418	0.12046664622418	1	0	0	1	1	0.151156846919559	0	1	0	0	0	0	1	0	0	0	0.0200909624813909	0.167627389165161	0.12046664622418	0	0	0.12046664622418	1	0	0.22177520412605	0	0	0	1	0	1	1
ZB_34	1	0.148223872525095	0.0200909624813909	0.138137317836022	0.138137317836022	0.980596483359935	0.0200909624813909	0.0200909624813909	0.980596483359935	0.980596483359935	0.167627389165161	0.0200909624813909	1	0.0200909624813909	0.0200909624813909	0.0200909624813909	0.0200909624813909	0.979909037518609	0.0200909624813909	0.0200909624813909	0.0200909624813909	0	0.148223872525095	0.138137317836022	0.0200909624813909	0.0200909624813909	0.138137317836022	0.980596483359935	0.0200909624813909	0.202371687485985	0.0200909624813909	0.0200909624813909	0.0200909624813909	1	0.0200909624813909	1	1
ZB_35	0.961380419247261	0	0.167627389165161	0.0605198904240114	0.0605198904240114	0.939480109575989	0.167627389165161	0.167627389165161	0.939480109575989	0.939480109575989	0.021900309671272	0.167627389165161	0.961380419247261	0.167627389165161	0.167627389165161	0.167627389165161	0.167627389165161	0.978099690328728	0.167627389165161	0.167627389165161	0.167627389165161	0.148223872525095	0	0.0605198904240114	0.167627389165161	0.167627389165161	0.0605198904240114	0.939480109575989	0.167627389165161	0.282162219203018	0.167627389165161	0.167627389165161	0.167627389165161	0.961380419247261	0.167627389165161	0.961380419247261	0.961380419247261
ZB_36	1	0.0605198904240114	0.12046664622418	0	0	1	0.12046664622418	0.12046664622418	1	1	0.0394842991308583	0.12046664622418	1	0.12046664622418	0.12046664622418	0.12046664622418	0.12046664622418	1	0.12046664622418	0.12046664622418	0.12046664622418	0.138137317836022	0.0605198904240114	0	0.12046664622418	0.12046664622418	0	1	0.12046664622418	0.335782406247115	0.12046664622418	0.12046664622418	0.12046664622418	1	0.12046664622418	1	1
ZB_38	1	0.167627389165161	0	0.12046664622418	0.12046664622418	1	0	0	1	1	0.151156846919559	0	1	0	0	0	0	1	0	0	0	0.0200909624813909	0.167627389165161	0.12046664622418	0	0	0.12046664622418	1	0	0.22177520412605	0	0	0	1	0	1	1
ZB_41	1	0.167627389165161	0	0.12046664622418	0.12046664622418	1	0	0	1	1	0.151156846919559	0	1	0	0	0	0	1	0	0	0	0.0200909624813909	0.167627389165161	0.12046664622418	0	0	0.12046664622418	1	0	0.22177520412605	0	0	0	1	0	1	1
ZB_42	1	0.0605198904240114	0.12046664622418	0	0	1	0.12046664622418	0.12046664622418	1	1	0.0394842991308583	0.12046664622418	1	0.12046664622418	0.12046664622418	0.12046664622418	0.12046664622418	1	0.12046664622418	0.12046664622418	0.12046664622418	0.138137317836022	0.0605198904240114	0	0.12046664622418	0.12046664622418	0	1	0.12046664622418	0.335782406247115	0.12046664622418	0.12046664622418	0.12046664622418	1	0.12046664622418	1	1
ZB_45	0.361869618696187	0.939480109575989	1	1	1	0	1	1	0	0	0.961380419247261	1	0.361869618696187	1	1	1	1	0.638130381303813	1	1	1	0.980596483359935	0.939480109575989	1	1	1	1	0	1	0.935540649826364	1	1	1	0.361869618696187	1	0.361869618696187	0.361869618696187
ZB_48	1	0.167627389165161	0	0.12046664622418	0.12046664622418	1	0	0	1	1	0.151156846919559	0	1	0	0	0	0	1	0	0	0	0.0200909624813909	0.167627389165161	0.12046664622418	0	0	0.12046664622418	1	0	0.22177520412605	0	0	0	1	0	1	1
ZB_50	0.958866530295102	0.282162219203018	0.22177520412605	0.335782406247115	0.335782406247115	0.935540649826364	0.22177520412605	0.22177520412605	0.935540649826364	0.935540649826364	0.301565735843083	0.22177520412605	0.958866530295102	0.22177520412605	0.22177520412605	0.22177520412605	0.22177520412605	0.976674119531262	0.22177520412605	0.22177520412605	0.22177520412605	0.202371687485985	0.282162219203018	0.335782406247115	0.22177520412605	0.22177520412605	0.335782406247115	0.935540649826364	0.22177520412605	0	0.22177520412605	0.22177520412605	0.22177520412605	0.958866530295102	0.22177520412605	0.958866530295102	0.958866530295102
ZB_54	1	0.167627389165161	0	0.12046664622418	0.12046664622418	1	0	0	1	1	0.151156846919559	0	1	0	0	0	0	1	0	0	0	0.0200909624813909	0.167627389165161	0.12046664622418	0	0	0.12046664622418	1	0	0.22177520412605	0	0	0	1	0	1	1
ZB_55	1	0.167627389165161	0	0.12046664622418	0.12046664622418	1	0	0	1	1	0.151156846919559	0	1	0	0	0	0	1	0	0	0	0.0200909624813909	0.167627389165161	0.12046664622418	0	0	0.12046664622418	1	0	0.22177520412605	0	0	0	1	0	1	1
ZB_57	1	0.167627389165161	0	0.12046664622418	0.12046664622418	1	0	0	1	1	0.151156846919559	0	1	0	0	0	0	1	0	0	0	0.0200909624813909	0.167627389165161	0.12046664622418	0	0	0.12046664622418	1	0	0.22177520412605	0	0	0	1	0	1	1
ZB_58	0	0.961380419247261	1	1	1	0.361869618696187	1	1	0.361869618696187	0.361869618696187	0.960515700869142	1	0	1	1	1	1	1	1	1	1	1	0.961380419247261	1	1	1	1	0.361869618696187	1	0.958866530295102	1	1	1	0	1	0	0
ZB_59	1	0.167627389165161	0	0.12046664622418	0.12046664622418	1	0	0	1	1	0.151156846919559	0	1	0	0	0	0	1	0	0	0	0.0200909624813909	0.167627389165161	0.12046664622418	0	0	0.12046664622418	1	0	0.22177520412605	0	0	0	1	0	1	1
ZB_61	0	0.961380419247261	1	1	1	0.361869618696187	1	1	0.361869618696187	0.361869618696187	0.960515700869142	1	0	1	1	1	1	1	1	1	1	1	0.961380419247261	1	1	1	1	0.361869618696187	1	0.958866530295102	1	1	1	0	1	0	0
ZB_64	0	0.961380419247261	1	1	1	0.361869618696187	1	1	0.361869618696187	0.361869618696187	0.960515700869142	1	0	1	1	1	1	1	1	1	1	1	0.961380419247261	1	1	1	1	0.361869618696187	1	0.958866530295102	1	1	1	0	1	0	0
