ZB_1	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_22	ZB_24	ZB_25	ZB_26	ZB_27	ZB_29	ZB_30	ZB_32	ZB_33	ZB_34	ZB_36	ZB_37	ZB_38	ZB_39	ZB_41	ZB_43	ZB_44	ZB_45	ZB_46	ZB_48	ZB_49	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_62	ZB_64
ZB_25	0.929701951340916	0.286449730045236	0.21603314790774	0.551225221468113	0.421873484178389	0.251695558493707	0.241533219320066	0.525468233682381	0.880726724827971	0.500995936578759	0.479975035189759	0.190048901235647	0.85734561133271	0.880726724827971	0.487723421772502	0.279550942710891	0.169323521687871	0.537779063275643	0.423913847726799	0.224638002879487	0	0.418597882843039	0.459182961558221	0.353279476951845	0.21727845168899	0.0899870231624308	0.155626058832589	0.388726354927131	0.224638002879487	0.291900690805626	0.160196807248653	0.811807824077763	0.227488890171409	0.224638002879487	0.871370243564476	0.279550942710891	0.224638002879487	0.500995936578759	0.224638002879487	0.224638002879487	0.224638002879487	0.907323077750947	0.0878017687833639	0.163645218238266	0.85734561133271	0.240670985602287	0.599066386751825	0.100693835330555	0.327685363934162	0.500995936578759
ZB_26	0.918637602179837	0.516259125573317	0.587073743216512	0.480591669910471	0.181891690605384	0.602687220958639	0.570666211526427	0.455671153146599	0.861954067730635	0.399758660957571	0.375110938108213	0.564795644726902	0.953952610610191	0.861954067730635	0.500090334236676	0.563291370855595	0.381449540897987	0.575125564588979	0.560367145210638	0.590392704969197	0.418597882843039	0	0.379636231356857	0.532004313866466	0.323719568696824	0.463598264678629	0.40687648015522	0.155575557555756	0.590392704969197	0.558345669874167	0.391689832364586	0.863950933592883	0.442717181860124	0.590392704969197	0.953271624640919	0.563291370855595	0.590392704969197	0.399758660957571	0.590392704969197	0.590392704969197	0.590392704969197	0.982115380486513	0.366738637195345	0.28343579984874	0.953952610610191	0.473622693960071	0.540094579847217	0.453357973212029	0.543360969387755	0.399758660957571
ZB_27	0.889136407514665	0.471826261412936	0.50501003425119	0.524178836298965	0.500904268959281	0.443535683993699	0.486254079839317	0.110863592485335	0.811899988331265	0.456515473574234	0.428000144107793	0.477616173936476	0.939498020920387	0.811899988331265	0.366585326788457	0.469484852630459	0.473272206111605	0.435744860548592	0.429165138736096	0.421328218518337	0.459182961558221	0.379636231356857	0	0.421272997106448	0.503680187010361	0.422965329807551	0.570027725083905	0.363846787145884	0.421328218518337	0.461977215619171	0.467485002203066	0.841245476449629	0.405077750290301	0.421328218518337	0.938316916969402	0.469484852630459	0.421328218518337	0.456515473574234	0.421328218518337	0.421328218518337	0.421328218518337	0.976323568423845	0.425151517194421	0.473618904753968	0.939498020920387	0.416160877966606	0.233958141064401	0.429754465770992	0.438971852947323	0.456515473574234
ZB_29	0.93412592866642	0.336498581849048	0.175066495066495	0.532227829848594	0.590506990147101	0.297948156261409	0.216950091217097	0.458552462526767	0.943127610208817	0.572253858895857	0.583130536748347	0.201531396111716	0.779418800574127	0.943127610208817	0.354945601667152	0.102336915421028	0.462784473462181	0.285284879246147	0.129452801843887	0.267453466312124	0.353279476951845	0.532004313866466	0.421272997106448	0	0.493797910875242	0.411475931638999	0.362092873587622	0.545105931951077	0.267453466312124	0.0866810422623514	0.456882039926339	0.926770677712889	0.393232190639673	0.267453466312124	0.870896962454329	0.102336915421028	0.267453466312124	0.572253858895857	0.267453466312124	0.267453466312124	0.267453466312124	0.976737258552479	0.309955286974371	0.371557804053833	0.779418800574127	0.404535995639895	0.398797862020429	0.418400246804547	0.13721727731284	0.572253858895857
ZB_30	0.944976202510319	0.2370745935473	0.386372251705838	0.648734310504591	0.326741639289024	0.278967652261815	0.353550669699267	0.558703984500042	0.906642237385225	0.59406852834639	0.577399755707186	0.366033821918962	0.888341336028978	0.906642237385225	0.583543930587145	0.436088998399461	0.0577299722011625	0.638209712745346	0.549084954932188	0.308983025861343	0.21727845168899	0.323719568696824	0.503680187010361	0.493797910875242	0	0.139878695981804	0.206464282705754	0.219810883666077	0.308983025861343	0.445755412349423	0.0679702636677618	0.840530494482352	0.165740038749895	0.308983025861343	0.899318717883919	0.436088998399461	0.308983025861343	0.59406852834639	0.308983025861343	0.308983025861343	0.308983025861343	0.927459775924522	0.266421320865976	0.194512888551933	0.888341336028978	0.149903125263247	0.619798247830848	0.129638404515205	0.473764847106394	0.59406852834639
ZB_32	0.936027863473875	0.258589133799555	0.286579991185544	0.591609127858577	0.466620335270828	0.161708535331277	0.248420743352431	0.486937466333676	0.891459771803536	0.545371507382964	0.526219958502961	0.262933989520592	0.870182655109936	0.891459771803536	0.533279294429355	0.344382008716517	0.0871817221784535	0.579372949414818	0.475754125654963	0.196605210322707	0.0899870231624308	0.463598264678629	0.422965329807551	0.411475931638999	0.139878695981804	0	0.225746500514049	0.359689579647881	0.196605210322707	0.355620439743401	0.0771525086710427	0.828543429736318	0.20180923166323	0.196605210322707	0.882945252436218	0.344382008716517	0.196605210322707	0.545371507382964	0.196605210322707	0.196605210322707	0.196605210322707	0.915662798099995	0.168921984356947	0.232344905040481	0.870182655109936	0.157274305358581	0.557967288575486	0.0117655598773236	0.388184956662259	0.545371507382964
ZB_33	0.930659961120216	0.149097488746001	0.226716914033214	0.557341047365662	0.41015208149057	0.260987051299102	0.251492756773344	0.631028746534365	0.96224857538888	0.585869997020558	0.59385158580386	0.201086776228926	0.859289680933646	0.96224857538888	0.573461863144304	0.289369099196529	0.157846801995854	0.544078131116434	0.431764651243025	0.234609099617458	0.155626058832589	0.40687648015522	0.570027725083905	0.362092873587622	0.206464282705754	0.225746500514049	0	0.37757755041116	0.234609099617458	0.301550547037241	0.148593991843006	0.876440063561426	0.215634558781093	0.234609099617458	0.873123187876938	0.289369099196529	0.234609099617458	0.585869997020558	0.234609099617458	0.234609099617458	0.234609099617458	0.908586062990559	0.234285018566993	0.151141413526511	0.859289680933646	0.356367407969	0.604222362745037	0.234160841700611	0.336847552763052	0.585869997020558
ZB_34	0.929473769451905	0.409135072054713	0.563052623008657	0.549768534139527	0.137057481813397	0.498778535927892	0.533474048817449	0.434373017693979	0.880339573239037	0.479701186346888	0.458336145114923	0.542084837300187	0.915628560820413	0.880339573239037	0.562490908285951	0.523942505608363	0.277540855867239	0.628159963569897	0.555341377371663	0.483268651450593	0.388726354927131	0.155575557555756	0.363846787145884	0.545105931951077	0.219810883666077	0.359689579647881	0.37757755041116	0	0.483268651450593	0.53455792224612	0.287781147333839	0.880788887843727	0.33559312834152	0.483268651450593	0.870952721579636	0.523942505608363	0.483268651450593	0.479701186346888	0.483268651450593	0.483268651450593	0.483268651450593	0.984328849590819	0.337617659982886	0.258649598741877	0.915628560820413	0.369714008929324	0.512680010257379	0.349449288181282	0.519786919277482	0.479701186346888
ZB_36	0.920372726649346	0.0942535557288468	0.111993234234166	0.644646488159219	0.593508291041333	0.0416283315078496	0.145067542898868	0.494487340132864	0.957102755979923	0.668230571571021	0.674811417687893	0.0825606290333641	0.838414006963863	0.957102755979923	0.514820097153186	0.183940449070088	0.26664655167597	0.476437915717453	0.347461694946247	0	0.224638002879487	0.590392704969197	0.421328218518337	0.267453466312124	0.308983025861343	0.196605210322707	0.234609099617458	0.483268651450593	0	0.197929127079063	0.258589133799555	0.859452666064166	0.17170066138234	0	0.854299842284513	0.183940449070088	0	0.668230571571021	0	0	0	0.89502396208733	0.304751522441922	0.359554452588446	0.838414006963863	0.187131496804241	0.449793903191643	0.206057599825785	0.238462769240147	0.668230571571021
ZB_37	0.939633844631371	0.273527158798402	0.0967739167739168	0.567772827580464	0.577990436458562	0.231317999269807	0.142632590565546	0.497803376365442	0.947567914438503	0.602170647208511	0.611595851355194	0.125750541885012	0.798539008843841	0.947567914438503	0.405839832604147	0.017141736767905	0.411798559543166	0.347237130833753	0.18643311073325	0.197929127079063	0.291900690805626	0.558345669874167	0.461977215619171	0.0866810422623514	0.445755412349423	0.355620439743401	0.301550547037241	0.53455792224612	0.197929127079063	0	0.405335939353541	0.932035010596141	0.335645226435099	0.197929127079063	0.838600651684764	0.017141736767905	0.197929127079063	0.602170647208511	0.197929127079063	0.197929127079063	0.197929127079063	0.978558558558559	0.244464699676315	0.311913772705584	0.798539008843841	0.348021850071843	0.446806276308075	0.363201926043324	0.0505362350504887	0.602170647208511
