 OTUID	FS0916	CS0908	QQ0718	CS0617	JZ0520	JZ0701	FS0610	FS0702	QH0615	BJ0815	BJ0613	FS0617	FS0716	WZ0519	WZ0728	QH0720	BJ0718	QQ0627	QH0714	CS0715	WZ0630	FS0729	QH0518	QH0601	QQ0829	JZ0729	CS0701	BJ0606	WZ0811	WZ0825	FS0819	QQ0801	WZ0602	BJ0704	WZ0616	QH0525	FS0527	JZ0715	JZ0916	JZ0617	QH0803	JZ0603	CS0825	QH0817	CS0520	BJ0530	CS0527	BJ0516	QQ0615	WZ0714	QQ0913	QQ0815	BJ0919	QQ0926	JZ0527	WZ0505	JZ0819	QQ0710	BJ0801	FS0520	WZ0915	CS0603	QH0629	CS0917
OTU_532	0	0	0	0	0	0	0	0	0	0	0	0	0	35	1	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	16	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	36	0	0	0	0	5	0	0	0
OTU_1473	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1253	0	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	2	2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_2849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_238	0	1	7	27	0	13	0	0	2	0	0	0	0	0	0	2	0	7	0	20	0	0	0	1	9	93	13	1	0	0	0	9	1	0	0	0	2	133	86	15	2	0	5	0	17	0	18	0	3	0	5	1	0	5	0	0	157	8	0	2	0	8	0	15
OTU_1437	0	0	0	0	2	1	0	0	0	0	0	0	0	6	1	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	19	0	5	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	7	0	0	0
OTU_233	0	4	0	9	1	1	0	0	0	6	3	0	0	2	101	2	58	0	3	8	1	0	1	1	0	7	10	5	22	20	0	0	0	108	0	0	2	0	0	0	5	0	6	8	1	2	8	4	0	3	0	0	1	0	0	2	0	0	13	0	4	1	0	1
OTU_441	15	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0	0	5	0	0	36	8	0	0	0	0	0	0	0	62	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU_442	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	84	0	0	0	0	2	0	0	0	0	0	0	19	0	73	0	1	1	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	5	0	0	0
OTU_435	0	0	0	0	2	2	0	0	0	0	0	0	0	29	5	0	0	0	0	0	25	0	0	0	0	0	0	0	8	1	0	0	31	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	28	0	0	0	0	8	0	0	0
OTU_1805	2	0	3	2	6	11	3	0	0	1	2	8	3	0	2	0	0	1	0	1	9	1	0	0	4	6	3	1	0	2	1	7	8	1	7	0	19	18	3	23	0	7	1	0	1	0	3	0	1	11	2	3	2	0	5	0	2	2	0	2	1	2	1	6
OTU_621	1	0	0	0	10	4	0	0	0	5	1	0	0	8	5	0	4	2	1	0	5	1	0	0	2	3	0	3	1	1	0	1	4	6	5	0	7	4	2	9	0	0	0	0	0	1	2	2	0	2	1	2	0	2	0	7	2	0	1	2	4	1	0	0
